232;La condanna per delitti commessi con abuso della responsabilità genitoriale importa, in conformità alle norme  del codice penale:;la sospensione dall’esercizio di essa per un periodo di tempo pari al doppio della pena inflitta.;la decadenza della responsabilità genitoriale.;la sospensione dall’esercizio di essa per un periodo di cinque anni.;la sospensione dall’esercizio di essa per un periodo pari alla pena inflitta.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
233;Durante  l’istruzione o il giudizio, secondo l'art. 206 c.p., prima della sentenza, il Giudice può applicare misure di sicurezza in via provvisoria?;Si, ma solo nei confronti di soggetti che si trovino in particolari situazioni personali.;No, in nessun caso.;Si, ma solo misure di sicurezza non detentive.;Si, ma solo se procede per particolari reati espressamente indicati dalla legge.
234;La pubblicazione della sentenza di condanna rappresenta, viste le disposizioni del codice penale:;una pena accessoria o una conseguenza civile del reato in materia di risarcimento.;una pena accessoria o una conseguenza civile del reato  in materia di risarcimento o una misura di sicurezza.;esclusivamente una pena accessoria.;una pena accessoria o una misura di sicurezza.
235;È ammessa l’estradizione, in base alle norme  del codice penale, se il fatto che forma oggetto della domanda stessa:;è previsto come reato dalla legge italiana e dalla legge straniera.;è previsto come  reato dalla legge italiana o dalla legge straniera.;esclusivamente se costituisce delitto per la legge italiana.;esclusivamente se previsto come  delitto dalla legge italiana e dalla legge straniera.
236;In base all'art. 8 c.p., è punibile secondo la legge italiana il delitto politico commesso all’estero:;a richiesta del Ministro della Giustizia, sia se commesso dal cittadino che dallo straniero.;a richiesta del Ministro della Giustizia, solo se commesso dal cittadino.;a richiesta del Ministro della Giustizia, solo se commesso dallo straniero.;d’ufficio, solo se commesso dal cittadino.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
237;Durante  la pena, a norma  dell'art. 32 c.p. è in stato di interdizione legale il condannato alla reclusione per un tempo:;non inferiore a cinque anni.;non inferiore a tre anni.;non inferiore ad un anno.;superiore a tre anni.
238;Quando ricorre una sola circostanza aggravante e l’aumento della pena non è determinato dalla legge, la disposizione dell'art. 64 c.p. prevede che la pena:;"è aumentata fino ad un terzo rispetto a quella che dovrebbe essere inflitta per  il reato commesso; in ogni caso, la pena della reclusione da applicarsi per  effetto dell’aumento non può superare gli anni trenta.";"è aumentata fino al triplo rispetto a quella che dovrebbe essere inflitta per il reato  commesso; in ogni caso, la pena della reclusione da applicarsi per effetto dell’aumento non può superare gli anni trenta.";"è aumentata fino al doppio rispetto a quella che dovrebbe essere inflitta per il reato  commesso; in ogni caso, la pena della reclusione da applicarsi per effetto dell’aumento non può superare gli anni trenta.";"è aumentata fino alla metà rispetto a quella che dovrebbe essere inflitta per il reato  commesso; in ogni caso, la pena della reclusione da applicarsi per effetto dell’aumento non può superare gli anni trenta."
239;Il cittadino che commette all’estero un delitto comune, ai sensi del codice penale è punito secondo la legge penale italiana:;se il delitto è punito dalla legge italiana con l’ergastolo o con la reclusione non inferiore nel minimo a tre anni, sempre che si trovi  nel territorio dello Stato.;se il delitto è punito dalla legge italiana con l’ergastolo o con la reclusione non inferiore nel minimo a cinque anni, anche se l’autore non si trova nel territorio dello Stato.;in ogni caso, tranne le eccezioni espressamente previste dalla legge.;solo se il delitto è punito dalla legge italiana con l’ergastolo, anche se l’autore non si trova nel territorio dello Stato.
240;Il Pubblico Ufficiale che,  al fine di adempiere un dovere del proprio ufficio, faccia uso di un mezzo di coazione fisica non è punibile secondo il codice penale quando vi è costretto dalla necessità di impedire la consumazione anche del delitto di:;sequestro di persona.;estorsione aggravata.;spaccio di sostanze stupefacenti.;violenza sessuale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
241;Tra i delitti dei Pubblici Ufficiali contro la Pubblica Amministrazione, il Codice Penale annovera anche quello di:;induzione indebita a dare o promettere utilità.;resistenza a Pubblico Ufficiale.;oltraggio a pubblico ufficiale.;traffico di influenze illecite.
242;Il minore di anni diciotto, che abbia commesso il fatto dopo il compimento dei quattordici anni ed in stato di piena capacità di intendere e di volere, al quale è stata inflitta una pena detentiva inferiore a cinque anni, può essere punito ai sensi dell'art. 98 c.p.:;solo con la pena principale, senza pene accessorie.;solo con la pena principale e la pena accessoria della sola libertà vigilata.;con la pena principale e le pene accessorie a discrezione del Giudice.;solo con la pena principale e la pena accessoria della sola interdizione legale.
243;Nel concorso di più reati, in conformità all'art. 151 c.p., l’amnistia:;si applica ai singoli reati per  i quali è concessa.;si applica esclusivamente ad un solo reato.;non può essere concessa, salvo che il decreto disponga altrimenti.;si estende a tutti i reati del concorso.
244;L’uso di biglietti falsificati di pubblico trasporto, è punito, agli effetti del codice penale, se non vi è stato concorso nella contraffazione o alterazione del biglietto:;sempre con una sanzione amministrativa, anche se i biglietti sono stati ricevuti in buona fede.;è punito con una sanzione penale, mentre non è soggetto ad alcuna sanzione se i biglietti sono stati ricevuti in buona fede.;è punito con una sanzione amministrativa, mentre non è soggetto ad alcuna sanzione se i biglietti sono stati ricevuti in buona fede.;con una sanzione amministrativa se i biglietti sono stati ricevuti in buona fede, con una sanzione penale negli altri casi.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
245;La causa estintiva di un reato, che è circostanza aggravante di un reato  complesso, in relazione al reato  complesso, ai sensi dell'art. 170 c.p.:;non si estende.;si estende salvo diversa previsione di legge.;si estende in base al tipo di reato  complesso.;non si estende salvo quanto prevista dall'art. 99 c.p..
246;A norma  del Codice Penale, quelle delle seguenti affermazioni è corretta, in relazione al delitto di “Corruzione per un atto contrario ai doveri d’ufficio”?;È un delitto a concorso necessario di persone.;È punibile sia a titolo di dolo che di colpa.;Nelle ipotesi di particolare tenuità è punibile solo a querela di parte.;È un delitto proprio del solo Pubblico Ufficiale.
247;Gli inabilitati possono esercitare il diritto di remissione di querela, in base all'art. 153 c.p., anche quando questa sia stata proposta dal rappresentante:;ma la remissione non ha effetto senza l’approvazione del rappresentante.;anche senza l’approvazione del rappresentante.;solo nei casi espressamente previsti dalla legge.;soltanto congiuntamente alla sottoscrizione del rappresentante.
248;Quali fra la sentenza di condanna, l’ordinanza che applica le misure cautelari personali e l’interrogatorio reso dinanzi al Pubblico Ministero, interrompono il corso della prescrizione del reato  secondo l'art. 160 c.p..?;Tutti i provvedimenti indicati.;tutti i provvedimenti tranne l’interrogatorio reso dinanzi al Pubblico Ministero.;Solo la sentenza di condanna.;Tutti i provvedimenti, tranne l’ordinanza che applica le misure cautelari personali.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
249;Nel caso di concorso di un delitto che importa la pena dell'ergastolo con altro delitto che importa pena detentiva temporanea superiore a cinque anni, si applica secondo l'art. 72 c.p. la pena dell'ergastolo con l'isolamento diurno per un periodo di tempo  da:;due a diciotto mesi.;tre mesi ad un anno.;sei mesi a tre anni.;tre mesi a sei anni.
250;Perché si concretizzi il reato  di concussione, secondo il codice penale, è necessario che vi sia:;l’abuso della qualità o dei poteri da parte di un pubblico ufficiale o di un incaricato di pubblico servizio.;l’uso della violenza psicologica da parte  di un pubblico ufficiale o di un incaricato di pubblico servizio.;l’uso della violenza fisica nei confronti del concusso.;l’uso e l'abuso di una qualsiasi forma di violenza nei confronti del concusso.
251;In quale caso il condannato a pena detentiva, conformemente alle orme del codice penale, può essere ammesso alla liberazione condizionale solo dopo aver scontato almeno tre quarti della pena inflittagli?;Quando il condannato sia recidivo e la recidiva sia aggravata.;Solo quando il condannato sia recidivo o delinquente abituale, professionale o per tendenza.;Solo quando il condannato sia delinquente abituale, professionale o per tendenza.;Solo quando la pena inflittagli sia superiore a 10 anni di reclusione.
252;L’oblazione nelle contravvenzioni penali punite con pene alternative, nell'ambito delle norme  del codice penale, comporta il pagamento di una somma corrispondente:;alla metà del massimo dell’ammenda stabilita per  la contravvenzione commessa, oltre alle spese del procedimento.;alla terza  parte  del massimo dell’ammenda stabilita per la contravvenzione commessa, oltre alle spese del procedimento.;al triplo del minimo dell’ammenda stabilita per la contravvenzione, oltre alle spese del procedimento.;al massimo dell’ammenda stabilita per la contravvenzione commessa, oltre alle spese del procedimento.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
253;Se  il reato  è stato commesso da un minorenne, la sospensione condizionale della pena ai sensi dell'art. 163 c.p. può essere ordinata quando si infligga una pena restrittiva della libertà personale non superiore a:;tre anni.;due anni, se si tratta di delitto e tre anni se si tratta di contravvenzione.;tre anni se si tratta di delitto e cinque anni se si tratta di contravvenzione.;due anni e sei mesi.
254;Il Giudice durante l’istruzione o il giudizio può applicare in via provvisoria, ai sensi dell'art. 206 c.p., solo:;talune misure di sicurezza detentive.;qualsiasi misura non detentiva.;esclusivamente la libertà vigilata.;solo talune misure di sicurezza non detentive.
255;Il pubblico ufficiale che,  per compiere un atto del suo ufficio, riceve, per sé o per un terzo,  in denaro, una retribuzione che non gli è dovuta,  commette, ai sensi dell'art. 318 c.p., il delitto di:;corruzione.;concussione.;malversazione.;peculato.
256;L'esercizio di un diritto e l'adempimento di un dovere, in materia di codice penale, costituiscono:;cause di esclusione della punibilità.;circostanze attenuanti ad effetto speciale.;cause soggettive di esclusione del reato.;circostanze attenuanti comuni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
257;In base al codice penale, il reato di peculato si configura anche se il Pubblico Ufficiale si appropria di denaro altrui non appartenente alla Pubblica Amministrazione?;Si, purché la disponibilità del denaro sia dovuta a ragioni del suo ufficio.;No, è necessario che il denaro appartenga alla Pubblica Amministrazione e non a terzi.;Si, in ogni caso, a prescindere dai motivi per i quali il Pubblico Ufficiale ha la disponibilità del denaro di cui si appropria.;Si, ma si configura solo l’ipotesi del delitto di “Peculato mediante profitto dell’errore altrui”.
258;Per la realizzazione del delitto di “inadempimento di contratti di pubbliche forniture”, ai sensi dell'art. 355 c.p., è necessario che l’inadempienza comporti, per l’ente destinatario della fornitura, l’effettiva mancanza delle cose o delle opere dedotte nel contratto?;Sì, altrimenti il delitto non si concretizza.;No, è sempre sufficiente la sola inadempienza.;Sì, ma solo se l’inadempienza riguarda la fornitura di cose od opere destinate alle comunicazioni per terra,  per acqua o per aria.;Sì, ma solo se l’inadempienza riguarda la fornitura di cose od opere destinate ad ovviare ad un pubblico infortunio.
259;Com’è disciplinata l’applicabilità delle misure di sicurezza, dall'art. 209 c.p., nei confronti della persona che ha commesso più fatti per i quali siano applicabili più misure di sicurezza?;Se sono applicabili più misure di sicurezza della stessa specie, è applicata una sola misura, anche se i fatti sono stati commessi in tempi diversi.;Se sono applicabili più misure di sicurezza della stessa specie, è applicata una sola misura solo se i fatti sono stati commessi nello stesso tempo.;Il Giudice applica, in ogni caso, una misura di sicurezza detentiva quale cumulo giuridico delle singole misure applicabili.;Si applicano, congiuntamente, la misura di sicurezza detentiva più grave  e ciascuna delle misure di sicurezza non detentive previste per i fatti commessi.
260;Il Pubblico Ufficiale che,  avendo per ragione del suo ufficio la disponibilità di una cosa mobile altrui, se ne appropria, compie il reato  punito dalle norme  del codice penale di:;peculato.;malversazione.;concussione.;corruzione.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
261;Per i delinquenti abituali, per i delinquenti professionali e per quelli per tendenza, con riferimento all'art. 217 c.p., l’assegnazione ad una colonia agricola, quale misura di sicurezza detentiva, ha la medesima durata?;No, per  i primi  la durata minima è due anni, per  i secondi tre anni, per  i terzi  quattro anni.;No, per le prime due categorie la durata minima è di tre anni, per gli altri è di quattro  anni.;No, per i delinquenti per tendenza, la durata minima è due anni, per i delinquenti professionali è di tre anni, per i delinquenti abituali è di quattro  anni.;Si, per tutti la durata minima è di quattro  anni.
262;Il conseguire indebitamente, mediante l’utilizzo di dichiarazioni false, mutui agevolati erogati da enti pubblici costituisce, secondo quanto previsto dall'art. 316 ter c.p.:;delitto o illecito amministrativo, a seconda della somma indebitamente percepita, salvo che il fatto costituisca il reato di cui all’art. 640 bis c.p.;In ogni caso, delitto o contravvenzione penale, a seconda della somma indebitamente percepita.;delitto se commesso dal Pubblico Ufficiale, illecito amministrativo se commesso dal privato.;sempre delitto, con la pena attenuata se il fatto è di particolare tenuità o è commesso dal privato.
263;Per colui che ha determinato a commettere un delitto una persona non imputabile, ai sensi del codice penale, qualora si tratti di delitto per cui è previsto l’arresto in flagranza, è previsto l'aumento di pena:;da un terzo alla metà.;fino ad un terzo.;da un terzo a due terzi.;dalla metà  a due terzi.
264;Chiunque, ai sensi dell'art. 473 c.p., altera i segni distintivi delle opere dell’ingegno:;commette un delitto.;commette un delitto, salvo che la legge disponga altrimenti.;commette un illecito amministrativo, salvo che la legge disponga altrimenti.;commette una contravvenzione penale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
265;Non è punibile il pubblico ufficiale che,  al fine di adempiere un dovere del proprio ufficio, ordini di far uso delle armi quando vi è costretto dalla necessità di impedire la consumazione anche del delitto di:;omicidio volontario.;estorsione aggravata.;violenza sessuale.;inondazione, frana e valanga.
266;Il privato che concorre col pubblico ufficiale nel reato  di peculato risponde, in base alle norme  del codice penale:;anch’egli del reato di peculato.;del reato  di appropriazione indebita.;del reato  di malversazione ai danni dello Stato.;del reato  di appropriazione indebita o di malversazione ai danni dello Stato,  a seconda del bene materiale oggetto del reato.
267;Il delitto di “istigazione alla corruzione” si concretizza, secondo il codice penale:;se la promessa di denaro o altra utilità non è accettata dal Pubblico Ufficiale.;se la promessa di denaro o altra utilità è accettata dal Pubblico Ufficiale.;indipendentemente dal fatto che la promessa di denaro o altra utilità sia accettata o meno  dal Pubblico.;solo se la promessa di denaro o altra utilità al Pubblico Ufficiale è finalizzata ad indurlo a compiere un atto del suo ufficio e non anche ad ometterlo.
268;Secondo le disposizioni del codice penale, in ogni caso in conseguenza della condanna per peculato a carico del Pubblico Ufficiale è applicata la misura di sicurezza di:;confisca.;interdizione dai pubblici uffici.;estinzione del rapporto  di lavoro.;riparazione pecuniaria.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
269;L’indulto, in conformità alle norme del codice penale, può:;condonare, in tutto o in parte, la pena inflitta o la commuta in un’altra specie di pena stabilita dalla legge.;condonare, in tutto o in parte,  la pena inflitta ma non la può commutare in un’altra specie di pena.;solo commutare la pena in un’altra di specie diversa o condonarla in tutto ma non in parte.;solo condonare parte  della pena o commutarla in un’altra specie.
270;Ai sensi del codice penale, ha il diritto di sporgere querela:;ogni persona offesa da un reato per  cui non debba procedersi d’ufficio.;ogni persona offesa o danneggiata da un reato nonché tutte le persone costituitesi parte  civile nel relativo procedimento, sempreché si tratti di un reato  non procedibile d’ufficio.;ogni persona offesa o danneggiata da un reato  per cui non debba procedersi d’ufficio.;Ogni persona danneggiata da un reato  per cui non debba procedersi d’ufficio e tutte le altre persone che, per legge, possono rappresentarlo
271;Nella determinazione dell’ammontare della pena pecuniaria nell'ambito del codice penale, il Giudice deve  tener conto anche delle condizioni economiche del reo?;Sì.;No.;No, salvo che la legge disponga altrimenti.;Si, ma solo se si tratta di ammenda.
272;La libertà vigilata, secondo il codice penale, è:;una misura di sicurezza.;Una misura cautelare;una misura alternativa.;Una misura di prevenzione
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
273;Il delitto di rifiuto di atti d’ufficio, previsto dall'art. 328 c.p., è un delitto:;proprio dei Pubblici Ufficiali e degli incaricati di pubblico servizio.;proprio dei Pubblici Ufficiali e dei soli incaricati di pubblico servizio che rivestano la qualità di pubblico impiegato.;dei privati contro la Pubblica Amministrazione.;contro l’amministrazione della giustizia.
274;L’ufficiale di Polizia Giudiziaria che, fuori dall’esercizio delle sue funzioni e non a causa di queste, ha notizia di un reato,  ha l’obbligo di riferirne all’Autorità Giudiziaria secondo le norme  del codice penale?;"Sì, se si tratta di reato perseguibile d’ufficio; in caso di omissione commette un delitto punibile con la reclusione.";"Sì, se si tratta di reato perseguibile d’ufficio; in caso di omissione commette un delitto punibile con la multa.";"Sì, sia se si tratta di reato perseguibile sia a querela di parte  che d’ufficio; in caso di omissione commette un delitto punibile con la reclusione.";No, salvo che la legge disponga altrimenti.
275;Se  l’oltraggio ad un magistrato in udienza avviene con violenza o minaccia, sulla base delle disposizioni del codice penale:;ciò comporta un aumento di pena.;ciò non incide sulla pena, salvo che il reato  sia commesso nei confronti di un giudice a composizione collegiale.;ciò comporta l’arresto obbligatorio in flagranza.;ciò comporta la perseguibilità d'ufficio anche per il reato  normalmente perseguito a querela.
276;A norma  del Codice Penale, qualora il reato  commesso sia diverso da quello voluto da taluno dei concorrenti, quest'ultimo:;ne risponde, se l’evento è conseguenza della sua azione od omissione.;ne risponde sempre, salvo che non impedisca l'evento.;non ne risponde in nessun caso.;quest'ultimo non ne risponde salvo che la legge disponga altrimenti,
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
277;Sulla base delle norme  del codice penale, la remissione di querela fatta a favore di uno soltanto fra coloro che hanno commesso il reato:;si estende a tutti,  ma non produce effetti per  chi l’abbia ricusata.;si estende a tutti e produce effetti anche per chi l’abbia ricusata, salvo sia diversamente stabilito dalla legge.;si estende a tutti e produce effetti anche per chi l’abbia ricusata.;ha efficacia soltanto per la persona nei cui confronti è stata fatta la remissione, salvo i casi previsti dalla legge.
278;L’obbligo al rimborso delle spese per il mantenimento del condannato negli istituti di pena, ai sensi del codice penale:;non si estende alla persona civilmente responsabile e non si trasmette agli eredi del condannato,;si estende alla persona civilmente responsabile ma non si trasmette agli eredi del condannato.;si estende alla persona civilmente responsabile ma non si trasmette agli eredi del condannato.;può essere soddisfatto esclusivamente sui beni mobili, presenti e futuri, del condannato.
279;Nel diritto penale, l’istituto dell’oblazione si applica:;alle contravvenzioni.;alle contravvenzioni ed ai delitti non colposi.;a tutte le contravvenzioni ed ai delitti per i quali è prevista la sola pena della multa.;a tutti i reati punibili con la sola pena pecuniaria.
280;Si configura il reato,  previsto e punito dal codice penale, di falsità materiale, commessa dal pubblico ufficiale in certificati o autorizzazioni amministrative, quando:;Il pubblico ufficiale, nell’esercizio delle sue funzioni, contraffà o altera certificati o autorizzazioni amministrative.;Il pubblico ufficiale, ricevendo o formando un atto nell’esercizio delle sue funzioni, attesta falsamente che un fatto è stato da lui compiuto o è avvenuto alla sua presenza.;Il pubblico ufficiale, nell’esercizio delle sue funzioni, forma, in tutto o in parte,  un atto falso o altera un atto vero.;Il pubblico ufficiale, nell’esercizio delle sue funzioni, attesta falsamente, in certificati o autorizzazioni amministrative, fatti dei quali l’atto è destinato a provare la verità.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
281;Dispone l'art. 480 c.p. che si configura il reato  di falsità ideologica, commessa dal pubblico ufficiale in certificati o in autorizzazioni amministrative, quando:;Il pubblico ufficiale, nell’esercizio delle sue funzioni, attesta falsamente, in certificati o autorizzazioni amministrative, fatti dei quali l’atto è destinato a provare la verità.;Il pubblico ufficiale, nell’esercizio delle sue funzioni, supponendo esistente un atto pubblico o privato, ne simula una copia e la rilascia in forma legale.;Il pubblico ufficiale, nell’esercizio delle sue funzioni, rilascia la copia di un atto pubblico o privato diversa dall’originale.;Il pubblico ufficiale, nell’esercizio delle sue funzioni, che scrive o lascia scrivere false indicazioni ad un privato.
282;"Nell'ambito del diritto penale, il termine ""circostanza"" di cui agli artt. 61 e 62 c.p. indica:";un elemento accidentale che incide sulla pena, aggravandola o attenuandola.;un elemento accidentale che è irrilevante rispetto alle conseguenze penali del fatto.;un elemento essenziale del reato  che incide sulla pena.;un elemento incidentale dei delitti che diviene, però, elemento essenziale di determinazione della pena in caso di condanna superiore a quattro  anni.
283;Il Pubblico Ufficiale, secondo le disposizioni del codice penale, che riceve denaro per aver omesso o ritardato un atto del suo ufficio risponde di:;corruzione propria per  un atto contrario ai doveri d’ufficio.;corruzione propria, per l’esercizio della funzione.;corruzione impropria per l’esercizio della funzione.;Indebita percezione.
284;La condanna per peculato di cui all'art. 314 c.p. a pena superiore a tre anni di reclusione comporta:;l’interdizione perpetua dai pubblici uffici.;l’interdizione temporanea dai pubblici uffici.;l’inabilitazione.;l'interdizione dai pubblici uffici non inferiore a cinque anni né superiore a sette anni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
285;Chiunque usa minaccia per opporsi ad un pubblico ufficiale, nell'esercizio delle sue funzioni, in ottemperanza all'art. 337 c.p., commette il reato  di:;resistenza a pubblico ufficiale.;violenza privata.;oltraggio aggravato dall’uso della violenza.;Violenza o minaccia a un pubblico ufficiale.
286;In considerazione del tenore dell'art. 317 c.p., gli elementi che differenziano il reato  di concussione da quello di corruzione sono:;la condotta e il soggetto attivo.;le modalità di esecuzione del delitto.;soltanto il soggetto attivo.;l'oggetto mediato del reato nonché il soggetto attivo.
287;Ai sensi dell'art. 317 c.p., il reato di concussione è classificato:;dei delitti dei pubblici ufficiali contro la pubblica amministrazione.;dei reati dei pubblici ufficiali contro la pubblica amministrazione.;dei reati dei pubblici ufficiali contro la fede pubblica.;dei reati contro l'amministrazione della giustizia.
288;Fuori dei casi di concorso nella contraffazione o nell’alterazione, in base all'art. 455 c.p., chiunque spende monete contraffatte o alterate:;soggiace alle pene stabilite per  il delitto, anche se ha ricevuto le monete in buona fede.;soggiace alle pene stabilite per la contravvenzione anche se ha ricevuto le monte  in buona fede, ridotte di un terzo.;risponde in ogni caso di una violazione amministrativa.;l'aver ricevuto le monete in buona fede costituisce titolo per la derubricazione del reato  a sanzione amministrativa.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
289;Cosa costituisce la forza maggiore di cui all'art. 45 c.p.?;Una causa di non punibilità.;Una causa di aggravamento della pena.;Una scusante che porta alla diminuzione della pena.;Una causa interruttiva della causalità.
290;Secondo le previsioni del codice penale, i delitti di falsità possono riguardare anche i documenti informatici?;Si, si applicano ai sensi dell’art. 491-bis del c.p.  i corrispondenti delitti di falsità in atti che riguardano gli atti pubblici o le scritture private.;No, non avendo previsto il nostro codice alcuna fattispecie specifica essendo anteriore all’invenzione dell’informatica.;Si, si applicano ai sensi dell’art. 491-bis del c.p. i corrispondenti delitti contro la Pubblica Amministrazione.;Si, secondo la specifica legislazione speciale.
291;La differenza tra corruzione propria ed impropria, ai sensi degli articoli del codice penale, si sostanzia nel fatto che il pubblico ufficiale:;nel primo caso “ponga in essere atti contrari ai doveri d’ufficio”, mentre nel secondo “compie atti dovuti ma ritardandone, dietro compenso, l’esecuzione per avvantaggiare un terzo”.;nel primo caso “compie atti dovuti ma ritardandone, dietro compenso, l’esecuzione per avvantaggiare un terzo”, mentre nel secondo “ponga in essere atti contrari ai doveri d’ufficio”.;"nel primo caso “compie atti dovuti ma ritardandone, dietro compenso, l’esecuzione per avvantaggiare un terzo”, mentre nel secondo ""quando  la promessa o la dazione sono effettuate dopo il compimento o l'omissione dell’atto"".";"nel primo caso ""dietro la promessa di compenso, avvantaggia una società o un privato a danno della pubblica amministrazione”, mentre nel secondo ""ponga in essere atti contrari ai doveri d’ufficio”."
