336;A norma del D. Lgs. n.165/2001 e ss.mm.ii., la segnalazione con cui il pubblico dipendente, nell'interesse dell'integrità della P.A., ha denunciato alle competenti autorità condotte illecite di cui è venuto a conoscenza in ragione del proprio rapporto di lavoro:;è sottratta al diritto di accesso di cui alla L. n. 241/1990.;non è sottratta al diritto di accesso di cui alla L. n.241/1990, salvo le eccezioni stabilite dalla medesima legge.;è sottratta al diritto di accesso di cui alla L. n.241/1990, salvo le eccezioni stabilite dalla medesima legge.;non è mai sottratta al diritto di accesso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
337;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le Amministrazioni Pubbliche adottano il piano dei fabbisogni di personale con cadenza:;triennale.;annuale.;di norma biennale.;quinquennale.;
338;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le norme concernenti l'organizzazione interna, il funzionamento e la gestione finanziaria dell’ARAN sono definite:;con propri Regolamenti.;con Regolamenti emanati dal Ministro per la Pubblica Amministrazione.;dallo stesso D. Lgs. n.165/2000.;Con Regolamenti emanati dal Presidente del Consiglio dei Ministri.;
339;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le Pubbliche Amministrazioni possono sottoscrivere contratti a tempo determinato con i vincitori e gli idonei delle proprie graduatorie vigenti per concorsi pubblici a tempo indeterminato?;Sì, nel rispetto delle disposizioni del D. Lgs. 165/2001.;No, tale ipotesi è espressamente esclusa dal D. Lgs. 165/2001.;No, tranne i casi espressamente disciplinati dal D. Lgs. 165/2001.;Possono essere sottoscritti esclusivamente contratti a tempo indeterminato, come previsto dallo stesso D. Lgs. n. 165/2001.;
340;A norma del D. Lgs. n.165/2001 e ss.mm.ii., quale, tra le seguenti funzioni, non rientra espressamente nelle competenze degli organi di governo delle Pubbliche Amministrazioni?;Provvedere alla gestione amministrativa mediante autonomi poteri di organizzazione delle risorse strumentali e di controllo.;Definire, tra l'altro, i piani, i programmi e le direttive generali per l'azione amministrativa.;Verificare la rispondenza dei risultati dell'attività amministrativa e della gestione agli indirizzi impartiti.;Individuare le risorse umane, materiali ed economico- finanziarie da destinare alle diverse finalità e la loro ripartizione tra gli uffici di livello dirigenziale generale.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
341;A norma del D. Lgs. n. 165/2001e ss.mm.ii., quale, tra le seguenti funzioni, rientra espressamente nelle competenze degli organi di governo delle Pubbliche Amministrazioni?;Definire, tra l'altro, i piani, i programmi e le direttive generali per l'azione amministrativa.;Adottare esclusivamente gli atti e provvedimenti amministrativi che impegnano l'amministrazione verso l'esterno.;Adottare tutti gli atti e provvedimenti amministrativi, compresi quelli che impegnano l'amministrazione verso l'esterno.;Provvedere alla gestione amministrativa mediante autonomi poteri di organizzazione delle risorse strumentali e di controllo.;
342;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., quali sono gli organi dell’Agenzia per la Rappresentanza Negoziale Pubbliche Amministrazioni (ARAN)?;Presidente e Collegio di indirizzo e controllo.;Direttore Generale e Consiglio di amministrazione.;Presidente, Direttore Generale e Consiglio di amministrazione.;Presidente, Direttore Generale e Comitato esecutivo.;
343;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., gli organi preposti alla gestione:;nell'ambito delle leggi e degli atti organizzativi di cui a detto decreto, assumono le determinazioni per l'organizzazione degli uffici e le misure inerenti alla gestione dei rapporti di lavoro con la capacità e i poteri del privato datore di lavoro.;concorrono con gli organi espressione di rappresentanza politica ad assumere le determinazioni per l'organizzazione degli uffici, che vengono adottate con regolamenti ministeriali.;controllano la congruità delle determinazioni organizzative adottate dagli organi espressione di rappresentanza politica.;verificano la conformità delle determinazioni organizzative adottate dagli organi espressione di rappresentanza politica, apportando i correttivi necessari.;
344;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., i vincitori dei concorsi nelle Pubbliche Amministrazioni devono permanere nella sede di prima destinazione per un periodo:;non inferiore a cinque anni.;non inferiore a tre anni, in ogni caso.;non inferiore a tre anni, salvo eccezioni.;non inferiore a due anni, salvo eccezioni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
345;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., il capo della struttura in cui il dipendente pubblico lavora può adottare nei confronti di quest'ultimo il provvedimento disciplinare del rimprovero verbale, senza previa tempestiva contestazione scritta?;Sì.;No.;Sì, ma soltanto se il relativo potere gli sia stato espressamente conferito con decreto ministeriale.;Sì, esclusivamente  nei casi di urgenza.;
346;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., il codice di comportamento dei dipendenti delle pubbliche amministrazioni è definito:;dal Dipartimento della funzione pubblica, sentite le confederazioni sindacali rappresentative.;dall'Aran, sentite le confederazioni sindacali rappresentative.;dal Presidente del Consiglio dei ministri, sentite le confederazioni sindacali rappresentative, previo parere del Consiglio di Stato.;con appositi accordi stipulati tra l'Aran e le confederazioni sindacali rappresentative.;
347;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., il giudice ordinario, in funzione di giudice del lavoro, adito per la decisione di una controversia relativa ad un rapporto di lavoro alle dipendenze di una pubblica amministrazione:;adotta, nei confronti della pubblica amministrazione, tutti i provvedimenti di accertamento richiesti dalla natura dei diritti tutelati.;adotta, nei confronti della pubblica amministrazione, tutti i provvedimenti di accertamento richiesti dalla natura dei diritti tutelati e sempre che si tratti di diritti patrimoniali.;non può adottare, nei confronti della pubblica amministrazione, provvedimenti di accertamento.;può adottare, nei confronti della pubblica amministrazione, i provvedimenti di accertamento richiesti dalla natura dei diritti tutelati, ma tali provvedimenti sono impugnabili dalla pubblica amministrazione innanzi al giudice amministrativo.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
348;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., il mancato esercizio o la decadenza dall'azione disciplinare, dovuti a valutazioni manifestamente irragionevoli di insussistenza dell'illecito in relazione a condotte aventi oggettiva e palese rilevanza disciplinare, comporta, per i soggetti responsabili:;a seconda delle ipotesi, l'applicazione della sospensione dal servizio fino a un massimo di tre mesi o il licenziamento.;la sospensione dal servizio fino a un massimo di sei mesi, in ogni caso.;la sospensione dal servizio fino a un massimo di sei mesi o il licenziamento, in ogni caso.;a seconda delle ipotesi, la sospensione della retribuzione fino a un massimo di dodici mesi o il licenziamento.;
349;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., il procedimento disciplinare a carico del dipendente pubblico, che abbia ad oggetto, in tutto o in parte, fatti in relazione ai quali procede l'Autorità Giudiziaria:;è, di norma, proseguito e concluso anche in pendenza del procedimento penale.;è, in ogni caso, sospeso fino alla definizione del procedimento penale.;salvo le eccezioni previste dalla legge, è sospeso fino alla definizione del procedimento penale.;è, in ogni caso, oggetto di valutazione discrezionale dell’amministrazione, in relazione alla tipologia di illecito disciplinare contestato.;
350;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., l’Ufficio competente per i procedimenti disciplinari convoca l’interessato per l’audizione in contraddittorio a sua difesa, con un preavviso di:;almeno 20 giorni.;almeno 15 giorni.;almeno 30 giorni.;almeno 10 giorni.;
351;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., la contrattazione collettiva può istituire procedure di impugnazione dei provvedimenti disciplinari?;No, in nessun caso.;Sì, salvo eccezioni.;No, salvo le eccezioni espressamente previste dal medesimo D.lgs. 165/2001.;Sì, senza particolari limitazioni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
352;A norma del D Lgs. n. 165/2001 e ss.mm.ii., la violazione dei doveri contenuti nel codice di comportamento, compresi quelli relativi all’attuazione del Piano di prevenzione della corruzione, è fonte di:;Responsabilità disciplinare.;Responsabilità civile.;Responsabilità penale.;Responsabilità amministrativo-contabile.;
353;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., la violazione dei termini e delle disposizioni sul procedimento disciplinare a carico del dipendente pubblico determina, di norma, l'invalidità degli atti e della sanzione irrogata?;No, purché non risulti irrimediabilmente compromesso il diritto di difesa del dipendente, e le modalità di esercizio dell'azione disciplinare risultino comunque compatibili con il principio di tempestività.;No, in ogni caso, tranne le sole violazioni dei termini perentori.;Sì, salvo le eccezioni espressamente disciplinate dallo stesso D.lgs. n. 165/2001.;Sì, in ogni caso.;
354;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., l'autorizzazione ai dipendenti delle pubbliche amministrazioni all'esercizio di incarichi non compresi nei compiti e doveri di ufficio e che provengano da amministrazione pubblica diversa da quella di appartenenza:;è disposta dagli organi competenti, secondo criteri oggettivi e predeterminati, che, tra l'altro, devono essere tali da escludere casi di incompatibilità, sia di diritto che di fatto.;è disposta dagli organi competenti, secondo criteri oggettivi e predeterminati, che, tra l'altro, devono essere tali da escludere casi di incompatibilità di diritto e non anche di fatto.;è disposta dagli organi competenti, secondo i criteri stabiliti dall'Aran, sentite le confederazioni sindacali rappresentative, che, tra l'altro, devono essere tali da escludere casi di incompatibilità sia di diritto che di fatto.;è disposta dagli organi competenti, secondo i criteri stabiliti dall'Aran, sentite le confederazioni sindacali rappresentative, che tra l'altro, devono essere tali da escludere casi di incompatibilità di diritto e non anche di fatto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
355;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le amministrazioni pubbliche che autorizzano incarichi retribuiti ai propri dipendenti sono tenute a comunicare annualmente al Dipartimento della funzione pubblica l'elenco degli incarichi autorizzati ai dipendenti stessi nell'anno precedente, con indicazione, tra l'altro:;dell'oggetto dell'incarico e del compenso lordo previsto o presunto.;dell'oggetto dell'incarico e del compenso netto previsto o presunto.;dell'oggetto e della durata dell'incarico, ma non del compenso netto previsto o presunto.;del compenso netto previsto o presunto, ma non dell'oggetto dell'incarico.;
356;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le amministrazioni pubbliche che autorizzano incarichi retribuiti ai propri dipendenti, entro il 30 giugno di ciascun anno:;sono tenute a comunicare al Dipartimento della funzione pubblica l'elenco degli incarichi autorizzati ai dipendenti stessi nell'anno precedente.;sono tenute a comunicare al Dipartimento della funzione pubblica l'elenco degli incarichi autorizzati ai dipendenti stessi nell'anno precedente, limitatamente a quelli che non siano stati conferiti secondo criteri oggettivi e predeterminati.;sono tenute a comunicare al Dipartimento della funzione pubblica l'elenco degli incarichi autorizzati ai dipendenti stessi nell'anno precedente, limitatamente a quelli che abbiano determinato l'erogazione di un compenso di importo lordo complessivo non inferiore a millecinquecentoquaran tanove/37 euro.;sono tenute a comunicare al Dipartimento della funzione pubblica l'elenco degli incarichi autorizzati ai dipendenti stessi nell'anno precedente, limitatamente a quelli che abbiano determinato l'erogazione di un compenso di importo lordo complessivo non inferiore a tremilanovantotto/74 euro.;
357;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le amministrazioni pubbliche che omettono di adempiere le prescritte comunicazioni concernenti il conferimento di incarichi retribuiti a dipendenti pubblici:;non possono conferire nuovi incarichi fino a quando non adempiono.;non possono assumere nuovi dipendenti fino a quando non adempiono.;devono versare ai fondi speciali dell'INPS una penale pari all'importo dei compensi erogati per detti incarichi.;non possono conferire nuovi incarichi per un quinquennio.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
358;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le Pubbliche Amministrazioni possono conferire incarichi individuali, con contratti di lavoro autonomo, a esperti di particolare e comprovata specializzazione. Tali incarichi possono essere rinnovati o prorogati?;Non possono essere mai rinnovati e possono essere prorogati solo nelle ipotesi tassativamente indicate dallo stesso D.lgs. n. 165/2001.;No, in ogni caso non possono essere né rinnovati né prorogati.;Si, possono essere rinnovati o prorogati senza particolari limitazioni.;Non possono essere mai prorogati e possono essere rinnovati solo nelle ipotesi tassativamente indicate dallo stesso D.lgs. n. 165/2001.;
359;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le pubbliche amministrazioni:;formulano all'ARAN indirizzi, affinché il codice di comportamento dei dipendenti delle pubbliche amministrazioni venga recepito nei contratti, in allegato.;formulano all'ARAN indirizzi, affinché il codice di comportamento dei dipendenti delle pubbliche amministrazioni venga definito nei contratti, in allegato.;formulano all'ARAN indirizzi, affinché il codice di comportamento dei dipendenti delle pubbliche amministrazioni venga definito con appositi accordi.;formulano all'ARAN indirizzi, affinché il codice di comportamento dei dipendenti delle pubbliche amministrazioni venga pubblicato nella Gazzetta Ufficiale.;
360;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., le pubbliche amministrazioni:;non possono conferire ai dipendenti incarichi, non compresi nei compiti e doveri di ufficio, che non siano espressamente previsti o disciplinati da legge o da altre fonti normative, o che non siano espressamente autorizzati.;possono conferire ai dipendenti incarichi, non compresi nei compiti e doveri di ufficio, anche se non siano espressamente previsti o disciplinati da legge o da altre fonti normative, purché siano preventivamente autorizzati dal Dipartimento della funzione pubblica.;non possono conferire ai dipendenti incarichi, non compresi nei compiti e doveri di ufficio, e detti incarichi non possono essere neppure previsti o disciplinati da legge o da altre fonti normative.;non possono conferire ai dipendenti incarichi, non compresi nei compiti e doveri di ufficio, che non siano espressamente previsti o disciplinati da legge o da altre fonti normative, o che non siano espressamente autorizzati, soltanto qualora per essi sia prevista una retribuzione superiore a tremilanovantotto/74 euro.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
361;A norma del D. Lgs. n. 165/2001, nelle amministrazioni statali, gli incarichi di funzione dirigenziale di livello generale sono conferiti con:;Decreto del Presidente del Consiglio dei ministri.;Decreto del Ministro competente.;Decreto del Consiglio dei Ministri.;Ordinanza dell’Autorità giurisdizionale amministrativa.;
362;A norma del D.lgs. n. 165/2001, nell’ambito delle Amministrazioni statali, quale soggetto definisce obiettivi, priorità, piani e programmi da attuare ed emana le conseguenti direttive generali per l'attività amministrativa e per la gestione?;Il Ministro competente.;Il Consiglio dei Ministri.;Il Presidente del Consiglio dei Ministri.;Il Dirigente generale.;
363;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., per alcune tipologie di sanzioni disciplinari previste per i pubblici dipendenti, si applica la disciplina stabilita dal contratto collettivo di lavoro. Al riguardo, quale delle seguenti affermazioni è corretta?;La disciplina stabilita dal contratto collettivo di lavoro si applica per le sanzioni per le quali è previsto il rimprovero verbale.;La disciplina stabilita dal contratto collettivo di lavoro si applica per tutte le sanzioni, ad eccezione del licenziamento disciplinare.;La disciplina stabilita dal contratto collettivo di lavoro si applica per tutte le sanzioni, senza eccezioni.;La disciplina stabilita dal contratto collettivo di lavoro si applica per tutte le sanzioni, ad eccezione del licenziamento senza preavviso.;
364;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., per le controversie individuali relative ai rapporti alle dipendenze di una pubblica amministrazione devolute al giudice ordinario, in funzione di giudice del lavoro, il tentativo obbligatorio di conciliazione previsto dal codice di procedura civile:;si svolge con le procedure previste dai contratti collettivi, ovvero davanti al collegio di conciliazione istituito presso la competente Direzione provinciale del lavoro.;si svolge esclusivamente con le procedure previste dai contratti collettivi.;si svolge esclusivamente davanti al collegio di conciliazione istituito presso la competente Direzione provinciale del lavoro.;si svolge secondo le direttive emanate dal CNEL.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
365;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., per quale delle seguenti infrazioni si applica la disciplina stabilita dal contratto collettivo?;Per le sanzioni per le quali è previsto il rimprovero verbale.;Per tutte le sanzioni ad eccezione del licenziamento senza preavviso.;Per tutte le sanzioni ad eccezione del licenziamento disciplinare.;Per tutte le sanzioni ad eccezione del licenziamento senza preavviso e del licenziamento disciplinare.;
366;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., possono far parte di commissioni per l’accesso o la selezione a pubblici impieghi coloro che sono stati condannati per il reato di “peculato”?;No, anche con sentenza non passata in giudicato.;Si, fino a quando la sentenza non sia passata in giudicato.;Si, tranne se sia stata loro applicata la pena accessoria dell’interdizione dai pubblici uffici.;Si, salvo le eccezioni espressamente previste dalla legge.;
367;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., quale organismo sostituisce nella Pubblica Amministrazione, unificandone le competenze, i Comitati per le pari opportunità e i Comitati paritetici sul fenomeno del mobbing?;Il Comitato unico di garanzia per le pari opportunità, la valorizzazione del benessere di chi lavora e contro le discriminazioni.;Il Comitato Centrale per la parità di genere e contro le discriminazioni.;L’Agenzia Nazionale per la parità di genere e contro le discriminazioni.;Il Consiglio Nazionale per le pari opportunità e il contrasto alla discriminazione.;
368;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., quale, tra le seguenti materie, non è espressamente esclusa dalla Contrattazione Collettiva Nazionale per i dipendenti delle Pubbliche Amministrazioni?;La materia relativa alle sanzioni disciplinari.;La materia relativa all’organizzazione degli Uffici.;La materia relativa al conferimento e alla revoca degli incarichi dirigenziali.;La materia relativa alle prerogative dirigenziali.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
369;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., qualora il giudice ordinario, in funzione di giudice del lavoro, in una controversia individuale concernente un rapporto di lavoro alle dipendenze di una pubblica amministrazione, rilevi che la domanda giudiziale è stata proposta prima della scadenza del termine di novanta giorni dalla promozione del tentativo di conciliazione:;sospende il giudizio e fissa alle parti il termine perentorio di sessanta giorni per promuovere il tentativo di conciliazione.;sospende il giudizio e fissa alle parti il termine ordinatorio di sessanta giorni per promuovere il tentativo di conciliazione.;dichiara la domanda improcedibile.;dichiara interrotto il processo.;
370;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., tra le categorie di dipendenti pubblici escluse dalla privatizzazione rientrano:;Il personale militare e delle Forze di polizia.;Il personale degli enti locali.;Il personale dei Ministeri.;Il personale della scuola.;
371;A norma del D. Lgs. n. 165/2001 e ss.mm.ii. a quali principi si ispirano le procedure di reclutamento delle pubbliche amministrazioni?;Imparzialità, economicità e celerità di espletamento.;A quelle che garantiscono maggior profitto per l'Amministrazione.;A quelle stabilite dalla contrattazione collettiva.;Sussidiarietà.;
372;A norma della disciplina introdotta dal D. Lgs. n. 165/2001 e ss.mm.ii., in relazione alle funzioni attribuite agli organi di governo delle Pubbliche Amministrazioni, quale delle seguenti affermazioni è corretta?;Definiscono, tra l'altro, gli obiettivi per l'azione amministrativa.;Si occupano, tra l’altro, della gestione tecnica e finanziaria, con autonomi poteri di spesa.;Adottano gli atti e i provvedimenti amministrativi, compresi tutti gli atti che impegnano l'amministrazione verso l'esterno.;Sono responsabili in via esclusiva dell'attività amministrativa, della gestione e dei relativi risultati.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
373;A norma della disciplina introdotta dal D. Lgs. n. 165/2001 e ss.mm.ii., gli organi di governo dell’Ente locale:;Definiscono gli obiettivi e i programmi da attuare ed adottano gli atti rientranti nello svolgimento di tali funzioni.;Definiscono solo gli obiettivi e i programmi per l'azione amministrativa e per la gestione, ma non adottano atti.;Provvedono alla gestione tecnica mediante autonomi poteri di spesa, di organizzazione delle risorse umane, strumentali e di controllo.;Individuano solo le risorse umane, materiali ed economico- finanziarie da destinare alle diverse finalità e la loro ripartizione tra gli uffici di livello dirigenziale generale.;
374;A norma della disciplina introdotta dal D. Lgs. n. 165/2001 e ss.mm.ii., gli organi di governo:;Esercitano le funzioni di indirizzo politico- amministrativo.;Definiscono solo gli obiettivi da attuare.;Provvedono all'adozione di tutti gli atti e provvedimenti amministrativi, compresi quelli che impegnano l'amministrazione verso l'esterno.;Provvedono all'adozione di tutti gli atti e provvedimenti amministrativi, esclusi quelli che impegnano l'amministrazione verso l'esterno.;
375;A norma dell'art. 54-bis del D. Lgs. 165/2001 e ss.mm.ii., nell'ambito del procedimento dinanzi alla Corte dei conti, l'identità del dipendente pubblico che abbia segnalato condotte illecite di cui è venuto a conoscenza in ragione del proprio rapporto di lavoro…;non può essere rivelata fino alla chiusura della fase istruttoria.;può essere rivelata nella fase istruttoria, a richiesta della controparte.;può essere rivelata, nella fase istruttoria, solo agli avvocati della parte civile.;è discrezione dell'amministrazione rivelare i dati del dipendente.;
376;A norma dell'art. 55-bis del D. Lgs. 165/2001 e ss.mm.ii., per le infrazioni di minore gravità, per le quali è prevista l'irrogazione della sanzione del rimprovero verbale, a chi compete il procedimento disciplinare?;Al responsabile della struttura presso cui presta servizio il dipendente.;Al collegio di disciplina.;Al giudice del lavoro.;Al collegio sindacale.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
377;A norma dell'art. 55-sexies del D. Lgs. n. 165/2001 e ss.mm.ii., cosa comporta, nei confronti del dipendente responsabile, salvo che ricorrano i presupposti per l'applicazione di una più grave sanzione disciplinare, la violazione di obblighi concernenti la prestazione lavorativa, che abbia determinato la condanna dell'amministrazione al risarcimento del danno?;L'applicazione della sospensione dal servizio con privazione della retribuzione da un minimo di tre giorni fino ad un massimo di tre mesi, in proporzione all'entità del risarcimento.;L'applicazione della sospensione dal servizio con privazione della retribuzione da un minimo di tre anni fino ad un massimo di cinque anni, in proporzione all'entità del risarcimento.;Il licenziamento senza preavviso.;Il rimprovero verbale.;
378;A norma delle disposizioni contenute nel D. Lgs. n. 165/2001 e ss.mm.ii., con il collocamento in disponibilità del pubblico dipendente:;restano sospese tutte le obbligazioni inerenti al rapporto di lavoro.;restano sospese tutte le obbligazioni inerenti al rapporto di lavoro per sei mesi.;il lavoratore ha diritto ad una indennità pari all'70% dello stipendio e dell'indennità integrativa speciale e di ogni altro emolumento corrisposto al personale in servizio di pari qualifica, per la durata massima di ventiquattro mesi.;il lavoratore ha diritto ad un assegno alimentare pari al 50% dello stipendio, con esclusione dell'indennità integrativa speciale e di ogni altro emolumento, per la durata massima di dodici mesi.;
379;A norma delle disposizioni contenute nel D. Lgs. n. 165/2001 e ss.mm.ii., le determinazioni relative all'avvio di procedure di reclutamento sono adottate da ciascuna P.A.:;sulla base della programmazione triennale del fabbisogno di personale.;sulla base della programmazione biennale del fabbisogno di personale approvata dal Dipartimento della funzione pubblica.;sulla base della programmazione decennale del fabbisogno di personale approvata dalla Presidenza del Consiglio dei Ministri.;sulla base della programmazione quinquennale del fabbisogno di personale.;
380;Ai sensi del D. Lgs. n. 165/2001 e ss.mm.ii., le attribuzioni che la norma assegna ai Dirigenti possono essere derogate:;soltanto espressamente e ad opera di specifiche disposizioni legislative.;salvo i casi in cui la deroga è espressamente esclusa dalla legge.;in nessun caso, trattandosi di norme imperative.;soltanto a seguito di specifiche disposizioni legislative o regolamentari.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
381;Ai sensi del D. Lgs. n. 165/2001 e ss.mm.ii., il dipendente che rifiuti, senza motivo, di riferire informazioni conosciute per ragioni di servizio, utili in un procedimento disciplinare avviato nei confronti di altro dipendente, è soggetto:;all’applicazione della sanzione disciplinare della sospensione dal servizio con privazione della retribuzione fino ad un massimo di 15 giorni.;al licenziamento per giusta causa.;al richiamo verbale.;a nessuna sanzione disciplinare.;
382;Ai sensi del D. Lgs. n. 165/2001 e ss.mm.ii., il parere del “Comitato dei Garanti” viene reso entro il termine di:;45 giorni dalla richiesta.;90 giorni dalla richiesta.;60 giorni dalla richiesta.;30 giorni dalla richiesta.;
383;Quale tra le seguenti è una competenza del responsabile del procedimento, secondo l’articolo 6 della L. n. 241/1990?;Proporre l’indizione delle conferenze di servizi.;Determinare le modalità di accesso agli atti.;Redigere il parere finale vincolante.;Sottoporre gli atti a revisione dell’organo di controllo.;
384;Quali sono le conseguenze del conflitto di interessi del responsabile del procedimento, ai sensi dell’articolo 6-bis della L. n. 241/1990?;Obbligo di astensione e di segnalazione.;Obbligo di concludere il procedimento entro un termine ridotto.;Facoltà di delegare a un altro responsabile.;Sospensione temporanea dell’efficacia dell’atto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
385;Ai sensi dell’articolo 14-bis della L. n. 241/1990, quale modalità è utilizzata per lo svolgimento della conferenza semplificata?;In modalità asincrona, salvo casi specifici.;In modalità sincrona, con la partecipazione di tutte le amministrazioni coinvolte.;In modalità cartacea, previa autorizzazione.;In modalità elettronica con firma digitale.;
386;Secondo la L. n. 241/1990, qual è la conseguenza della mancata comunicazione dei motivi ostativi all’accoglimento dell’istanza?;L’illegittimità del provvedimento finale per difetto di motivazione.;La sospensione automatica del procedimento.;L’obbligo di riaprire l’istruttoria.;La decadenza del termine per l’adozione dell’atto.;
387;"Cosa si intende per ""provvedimento attributivo di vantaggi economici"" ai sensi dell’articolo 12 della L. n. 241/1990?";Qualunque concessione di sovvenzioni, contributi, sussidi e ausili finanziari.;Provvedimenti che incidono sui diritti soggettivi.;Atti che determinano l’attribuzione di incarichi dirigenziali.;Provvedimenti relativi alla concessione di appalti pubblici.;
388;In quale modo, secondo la L. n. 241/1990, le pubbliche amministrazioni devono pubblicare le determinazioni sui procedimenti di maggiore impatto?;Sul proprio sito internet istituzionale, nella sezione “Amministrazione trasparente”.;Tramite avvisi pubblici affissi nella sede dell’amministrazione.;Sul Bollettino Ufficiale della Regione competente.;Mediante comunicazione al Difensore Civico.;
389;Ai sensi dell’articolo 21-quater della L. n. 241/1990, cosa caratterizza l’efficacia del provvedimento amministrativo?;L’esecutività decorre dalla data di comunicazione dell’atto.;La necessità di un atto confermativo da parte di un organo superiore.;La pubblicazione su almeno due quotidiani nazionali.;La registrazione presso la Corte dei conti.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
390;Qual è la modalità di conclusione degli accordi integrativi, secondo l’articolo 11 della L. n. 241/1990?;Per atto scritto, salvo diversa disposizione di legge.;Per atto orale confermato successivamente in forma scritta.;Tramite pubblicazione sul sito dell’amministrazione competente.;Mediante atto deliberativo dell’organo di governo.;
391;Ai sensi dell’articolo 15 della L. n. 241/1990, in quali casi le pubbliche amministrazioni possono concludere accordi tra loro?;Per disciplinare lo svolgimento in collaborazione di attività di interesse comune.;Per derogare alla disciplina dei singoli procedimenti.;Per trasferire competenze tra enti locali.;Per delegare funzioni a soggetti privati.;
392;Qual è il compito dell’unità organizzativa responsabile del procedimento, secondo l’articolo 4 della L. n. 241/1990?;Curare l’istruttoria e ogni altro adempimento procedimentale, nonché l’adozione del provvedimento finale.;Redigere il parere obbligatorio vincolante.;Designare i responsabili del procedimento.;Determinare la validità degli atti amministrativi.;
393;Qual è il limite massimo entro il quale può concludersi un procedimento amministrativo in caso di particolare complessità, secondo l’articolo 2, comma 4, della L. n. 241/1990?;Centottanta giorni.;Centoventi giorni.;Duecento giorni.;Novanta giorni.;
394;Secondo l’articolo 10-bis della L. n. 241/1990, entro quanto tempo gli interessati possono presentare osservazioni in seguito alla comunicazione dei motivi ostativi?;Dieci giorni.;Quindici giorni.;Cinque giorni.;Trenta giorni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
395;Qual è l’effetto principale del silenzio assenso, come previsto dall’articolo 20 della L. n. 241/1990?;L’accoglimento dell’istanza come se fosse stato emanato un provvedimento favorevole.;La possibilità di riaprire l’istruttoria.;La proroga del termine per ulteriori trenta giorni.;L’inizio automatico di un procedimento di verifica.;
