188;A norma del D.P.R. n. 230/2000 e ss.mm.ii., la revoca del provvedimento di ammissione al lavoro esterno diviene esecutiva:;dopo l'approvazione del Magistrato di sorveglianza.;dopo l'approvazione del Consiglio di disciplina dell'istituto.;dopo l'avvenuta comunicazione al Capo dell'Amministrazione penitenziaria.;dopo l'avvenuta comunicazione all'Ufficio di esecuzione penale esterna.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
189;A norma dell'art. 48 del D.P.R. n. 230/2000 e ss.mm.ii., chi può disporre, con provvedimento motivato, la sospensione dell'efficacia dell'ammissione al lavoro all'esterno del detenuto?;Il direttore dell'istituto.;Il Prefetto del luogo dove la misura deve essere eseguita.;Il direttore del centro di servizio sociale.;Il Provveditore regionale dell'Amministrazione penitenziaria.;
190;A norma del D.P.R. n. 230/2000 e ss.mm.ii., quando deve provvedersi con estrema urgenza al trasferimento di un detenuto in luogo esterno di cura e non sia possibile ottenere con immediatezza la decisione della competente autorità giudiziaria, chi provvede direttamente al trasferimento?;Il direttore dell'istituto.;Il Prefetto territorialmente competente.;Il Provveditore regionale dell'Amministrazione penitenziaria territorialmente competente.;Il Capo del Dipartimento dell'Amministrazione penitenziaria.;
191;A norma dell'art.74 del D.P.R. n. 230/2000 e ss.mm.ii., per procedere a perquisizione fuori dei casi ordinari è necessario:;l'ordine del direttore dell'istituto.;una preventiva comunicazione al Capo del Dipartimento dell'Amministrazione penitenziaria.;l'ordine del Provveditore regionale dell'Amministrazione.;una preventiva comunicazione al Provveditore regionale dell'Amministrazione penitenziaria.;
192;Ai sensi del D.P.R. n. 230/2000 e ss.mm.ii., l'ammissione dei condannati al lavoro all'esterno, qualora ne sia prevista la possibilità nel programma di trattamento, è disposta:;dal direttore dell'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria.;dal Prefetto del luogo dove la misura deve essere eseguita.;dal direttore dell'Ufficio interdistrettuale dell'esecuzione penale esterna.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
193;A norma del D.P.R. n. 230/2000 e ss.mm.ii., il Magistrato di sorveglianza, nell'esercizio delle sue funzioni di vigilanza, assume dirette informazioni sullo svolgimento dei vari servizi dell'istituto penitenziario e sul trattamento dei detenuti e degli internati:;a mezzo di visite e di colloqui e, quando occorre, di visione di documenti.;esclusivamente a mezzo di visite e di colloqui.;a mezzo di specifiche e periodiche conferenze di servizio.;a mezzo di specifiche e periodiche relazioni predisposte dal Collegio di disciplina dell'istituto.;
194;A norma del D.P.R. n. 230/2000 e ss.mm.ii., gli oggetti necessari per la cura e la pulizia della persona detenuta sono indicati in tabelle stabilite:;con decreto ministeriale.;dallo stesso D.P.R. n.230/2000.;dalla L. n. 354/1975.;con provvedimento del Consiglio di disciplina dell'istituto.;
195;Secondo quanto disciplinato dal D.P.R. n. 230/2000 e ss.mm.ii., quale, tra le seguenti affermazioni, è corretta?;La cessione e la ricezione di somme in peculio fra detenuti e internati sono vietate, salvo che si tratti di componenti dello stesso nucleo familiare.;Nei locali di pernottamento non è consentito l'uso del rasoio elettrico.;Non è consentito ai detenuti ed internati, nelle proprie camere, l'uso di fornelli personali per riscaldare liquidi e cibi già cotti.;È consentito l'acquisto presso lo spaccio interno e il consumo giornaliero di vino, in misura non superiore al litro e di gradazione non superiore a quindici gradi, ovvero di birra in misura non superiore a due litri.;
196;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., negli istituti penitenziari ogni cucina deve servire alla preparazione del vitto...;per un massimo di duecento persone.;per un massimo di cento persone.;per un massimo di cinquanta persone.;per un massimo di trecento persone.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
197;A norma del D.P.R. n. 230/2000 e ss.mm.ii., la rappresentanza dei detenuti o degli internati che controlla la preparazione del vitto è composta:;di tre persone.;di cinque persone.;di quattro persone.;di sette persone.;
198;A norma del D.P.R. n. 230/2000 e ss.mm.ii., gli oggetti che costituiscono il corredo del letto, i capi di vestiario e di biancheria personale, nonché gli altri effetti di uso che l'amministrazione è tenuta a corrispondere ai detenuti e agli internati sono indicati in tabelle stabilite:;con decreto ministeriale.;dallo stesso D.P.R. n. 230/2000.;dalla L. n. 354/1975.;con decreto del Provveditore regionale dell'Amministrazione penitenziaria.;
199;A norma del D.P.R. n. 230/2000 e ss.mm.ii., l'orario di somministrazione dei pasti ai detenuti è stabilito:;dal regolamento interno dell'istituto.;dallo stesso D.P.R. n. 230/2000.;dalla L. n. 354/1975.;con circolare del Capo del Dipartimento dell'Amministrazione penitenziaria.;
200;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., la riduzione della permanenza all'aperto del detenuto a non meno di un'ora al giorno, dovuta a motivi eccezionali, è disposta:;con provvedimento motivato del direttore dell'istituto.;con ordinanza del Magistrato di sorveglianza.;con ordinanza del Tribunale di sorveglianza.;con provvedimento motivato del Provveditore regionale dell'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
201;Ai sensi del D.P.R. n. 230/2000 e ss.mm.ii., il provvedimento del direttore dell'istituto che dispone la riduzione della permanenza all'aperto del detenuto a non meno di un'ora al giorno, dovuta a motivi eccezionali, viene comunicato:;al Provveditore regionale dell'Amministrazione penitenziaria e al Magistrato di sorveglianza.;al Provveditore regionale dell'Amministrazione penitenziaria e al Prefetto.;Al Capo del Dipartimento dell'Amministrazione penitenziaria e al Magistrato di sorveglianza.;al Gruppo di Osservazione e Trattamento (G.O.T.) e al Magistrato di sorveglianza.;
202;Ai sensi del D.P.R. n. 230/2000 e ss.mm.ii., il servizio di biblioteca è affidato:;di regola, a un educatore.;di regola, al direttore dell'istituto.;di regola, a un assistente sociale.;in ogni caso, al Comandante del Reparto.;
203;Chi presiede il gruppo di osservazione e trattamento che compila il programma individualizzato di trattamento, di cui all'art. 29 del D.P.R. n. 230/2000 e ss.mm.ii.?;Il direttore dell'istituto.;L'educatore Capo dell'istituto.;Il Comandante del reparto.;Il Magistrato di sorveglianza.;
204;La compilazione del Programma individualizzato di trattamento, di cui all'art. 29 del D.P.R. n. 230/2000 e ss.mm.ii., è effettuata:;da un gruppo di osservazione e trattamento.;dal Consiglio di disciplina dell'istituto.;dal Magistrato di sorveglianza.;dall'educatore Capo dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
205;Secondo quanto previsto dal D.P.R. n. 230/2000 e ss.mm.ii., alle assegnazioni provvisorie e definitive dei detenuti agli istituti, che comportino trasferimento dalla circoscrizione di un provveditorato regionale a quella di un altro provveditorato, provvede:;il Dipartimento dell'Amministrazione penitenziaria.;il Tribunale di sorveglianza.;il Magistrato di sorveglianza.;Il Ministro della giustizia.;
206;A norma del D.P.R. n. 230/2000 e ss.mm.ii., il regolamento interno dell'istituto penitenziario non disciplina:;i principi per la definizione del Programma individualizzato di trattamento del detenuto.;i tempi e le modalità particolari per i colloqui e la corrispondenza anche telefonica.;i giochi consentiti.;le affissioni consentite e le relative modalità.;
207;A norma del D.P.R. n. 230/2000 e ss.mm.ii., gli orari relativi all'organizzazione della vita quotidiana della popolazione detenuta o internata sono disciplinati:;dal regolamento interno dell'istituto.;da specifica circolare del Ministro della giustizia.;dalla L. n. 354/1975.;con provvedimento motivato del Consiglio di disciplina dell'istituto.;
208;Secondo quanto specificato dall'art. 37 del D.P.R. n. 230/2000 e ss.mm.ii., quale, tra le seguenti affermazioni, è corretta?;Per i colloqui con gli imputati fino alla pronuncia della sentenza di primo grado, i richiedenti debbono presentare il permesso rilasciato dall'autorità giudiziaria che procede.;"A ciascun colloquio con il detenuto o con l'internato possono partecipare non più di quattro persone; è consentito di derogare a tale norma quando si tratti di congiunti o conviventi.";I detenuti e gli internati usufruiscono di otto colloqui al mese.;"Il colloquio ha la durata massima di quarantacinque minuti; in considerazione di eccezionali circostanze, è consentito di prolungare la durata del colloquio con i congiunti o i conviventi.";
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
209;A norma del D.P.R. n. 230/2000 e ss.mm.ii., i detenuti che si sono resi colpevoli dei delitti di cui agli articoli 416-bis e 416-ter del codice penale e per i quali si applichi il divieto di benef ìci previsto…;possono usufruire al massimo di quattro colloqui al mese.;possono usufruire al massimo di due colloqui al mese.;possono usufruire di un solo colloquio al mese.;non hanno alcun diritto ad usufruire di colloqui con familiari o persone conviventi, salvo le eccezioni previste dalla medesima normativa.;
210;A norma del D.P.R. n. 230/2000 e ss.mm.ii., il direttore dell'istituto, qualora abbia il sospetto che nella corrispondenza epistolare, in arrivo o in partenza, siano inseriti contenuti che costituiscono elementi di reato o che possano determinare pericolo per l'ordine e la sicurezza, trattiene la missiva, facendone immediata segnalazione:;al Magistrato di sorveglianza, o, se trattasi di imputato sino alla pronuncia della sentenza di primo grado, all'Autorità giudiziaria che procede.;al Provveditore regionale dell'Amministrazione penitenziaria.;al Magistrato di sorveglianza e al Capo del Dipartimento dell'Amministrazione penitenziaria.;al Magistrato di sorveglianza e al Prefetto competente in relazione al luogo della detenzione.;
211;A norma del D.P.R. n. 230/2000 e ss.mm.ii., chi autorizza i condannati e gli internati ad avere corrispondenza telefonica con i congiunti e conviventi?;Il direttore dell'istituto.;Il Centro di servizio sociale del luogo in cui ha sede l'istituto.;Il Provveditore regionale dell'Amministrazione penitenziaria.;il Tribunale di sorveglianza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
212;A norma del D.P.R. n. 230/2000 e ss.mm.ii., in ciascun istituto penitenziario è costituita una Commissione didattica che è presieduta:;dal direttore dell'istituto.;dall'educatore Capo dell'istituto.;dal Comandante del reparto.;da un assistente sociale del Centro di servizio sociale del luogo in cui ha sede l'istituto.;
213;A norma del D.P.R. n. 230/2000 e ss.mm.ii., in ciascun istituto penitenziario è costituita una Commissione didattica che è convocata:;dal direttore dell'istituto.;dall'educatore Capo dell'istituto.;dal cappellano dell'istituto.;da un assistente sociale del Centro di servizio sociale del luogo in cui ha sede l'istituto.;
214;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., ai detenuti e agli internati che hanno superato con esito positivo il corso di formazione professionale frequentato, è corrisposto un premio di rendimento?;Sì, nella misura stabilita dal Dipartimento dell'amministrazione penitenziaria.;Sì, nella misura stabilita dal regolamento interno dell'istituto.;Sì, nella misura stabilita dallo stesso D.P.R. n.230/2000.;No, in nessun caso.;
215;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., il detenuto che, nei corsi di istruzione, anche individuale, o in quello di formazione professionale, tiene un comportamento che configuri sostanziale inadempimento dei suoi compiti è escluso dal corso con provvedimento adottato:;dal direttore dell'istituto sentito il parere del gruppo di osservazione e trattamento e delle autorità scolastiche.;dal direttore dell'istituto sentito il parere dell'educatore Capo dell'istituto e delle autorità scolastiche.;dal Magistrato di sorveglianza, sentito il parere del gruppo di osservazione e trattamento e delle autorità scolastiche.;dal Consiglio di disciplina dell'istituto, sentito il parere dell'educatore Capo dell'istituto e del gruppo di osservazione e trattamento.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
216;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., le lavorazioni penitenziarie, sia all'interno sia all'esterno dell'istituto, possono essere organizzate e gestite:;dalle direzioni degli istituti, secondo le linee programmatiche determinate dai provveditorati.;dai Provveditorati regionali secondo le linee programmatiche determinate dal Capo del Dipartimento dell'Amministrazione penitenziaria.;dai gruppi di osservazione e trattamento secondo le linee programmatiche determinate dai provveditorati.;dai Provveditorati regionali secondo le linee programmatiche determinate dal Ministro della giustizia.;
217;A norma del D.P.R. n. 230/2000 e ss.mm.ii., nei casi in cui il detenuto o l'internato manifesti un sostanziale rifiuto nell'adempimento dei suoi compiti e doveri lavorativi, l'esclusione dall'attività lavorativa è adottata:;dal direttore dell'istituto, sentito il parere dei componenti del Gruppo di Osservazione e Trattamento.;dal Magistrato di sorveglianza.;dal Provveditore regionale dell'Amministrazione penitenziaria.;dal Centro di servizio sociale del luogo in cui ha sede l'istituto.;
218;Il peculio dei condannati e degli internati, così come specificato dal D.P.R. n. 230/2000 e ss.mm.ii.:;si distingue in fondo vincolato e fondo disponibile.;è costituito esclusivamente dal fondo vincolato.;si distingue in fondo vincolato, fondo disponibile e fondo indisponibile.;si distingue in fondo vincolato e fondo patrimoniale.;
219;"Secondo quanto disciplinato art. 57 (""Peculio"") D.P.R. n. 230/2000 e ss.mm.ii., il fondo vincolato può essere utilizzato nel corso della esecuzione delle misure privative della libertà?";"No; tuttavia, in considerazione di particolari motivazioni il direttore dell'istituto ne può autorizzare l'utilizzo.";"No; tuttavia, in considerazione di particolari motivazioni il Magistrato di sorveglianza ne può autorizzare l'utilizzo.";Sì, previo consenso del Consiglio di disciplina dell'istituto.;No, mai.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
220;"A norma dell'art. 57 (""Peculio"") del D.P.R. n. 230/2000 e ss.mm.ii., in considerazione di particolari motivazioni, chi può autorizzare l'utilizzo del fondo vincolato nel corso della esecuzione delle misure privative della libertà?";Il direttore dell'istituto.;Il Provveditore regionale dell'Amministrazione penitenziaria.;Il Tribunale di sorveglianza.;Il Magistrato di sorveglianza.;
221;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., durante il permesso premio, i controlli del condannato sono effettuati:;"dall'Arma dei carabinieri o dalla Polizia di Stato; in casi particolari l'Amministrazione penitenziaria può disporre ulteriori controlli da parte del personale del Corpo di polizia penitenziaria.";in ogni caso, dall'Arma dei carabinieri o dalla Polizia di Stato.;in ogni caso, dal Corpo di polizia penitenziaria.;esclusivamente dalla Polizia di Stato.;
222;A norma del D.P.R. n. 230/2000 e ss.mm.ii., qualora il permesso premio debba essere fruito in un Comune diverso da quello in cui ha sede l'istituto di provenienza del condannato, il direttore dell'istituto di provenienza ne dà comunicazione:;alla direzione dell'istituto ed al Centro di servizio sociale (ora UEPE) territorialmente competenti.;al Prefetto ed alla direzione dell'istituto territorialmente competenti.;al Tribunale di sorveglianza ed alla direzione dell'istituto territorialmente competenti.;esclusivamente al Prefetto e al Provveditore regionale dell'Amministrazione penitenziaria territorialmente competenti.;
223;A norma del D.P.R. n. 230/2000 e ss.mm.ii., dei provvedimenti esecutivi di concessione dei permessi premio, il direttore dell'istituto, presso il quale l'interessato si trova, dà notizia:;senza ritardo, al Prefetto della provincia nel cui territorio è sito il Comune ove il permesso deve essere fruito.;senza ritardo, al Questore della provincia nel cui territorio è sito il Comune ove il permesso deve essere fruito.;senza ritardo, al Provveditore regionale nel cui territorio è sito il Comune ove il permesso deve essere fruito.;senza ritardo, al Centro di servizio sociale del luogo ove il permesso deve essere fruito.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
224;A norma del D.P.R. n. 230/2000 e ss.mm.ii. e con specifico riferimento alla partecipazione della comunità esterna all'azione rieducativa, chi autorizza gli ingressi in istituto stabilendo le condizioni che devono essere rispettate nello svolgimento dei compiti?;Il Magistrato di sorveglianza.;Il Consiglio di disciplina dell'istituto.;Il Prefetto.;Il Provveditore regionale dell'Amministrazione penitenziaria.;
225;A norma del D.P.R. n. 230/2000 e ss.mm.ii., l'isolamento diurno nei confronti dei condannati all'ergastolo:;non esclude l'ammissione degli stessi alle attività lavorative, nonché di istruzione e formazione diverse dai normali corsi scolastici, ed alle funzioni religiose.;esclude l'ammissione degli stessi alle attività lavorative, nonché di istruzione e formazione diverse dai normali corsi scolastici, ed alle funzioni religiose.;"esclude l'ammissione degli stessi alle attività lavorative, nonché di istruzione e formazione diverse dai normali corsi scolastici; non esclude invece l'ammissione degli stessi alle funzioni religiose.";"esclude l'ammissione degli stessi dalle attività di istruzione e formazione diverse dai normali corsi scolastici; non esclude invece l'ammissione degli stessi alle attività lavorative e alle funzioni religiose.";
226;A norma del D.P.R. n. 230/2000 e ss.mm.ii., le perquisizioni fuori dei casi ordinari necessitano:;dell'ordine del direttore.;dell'ordine del Comandante del reparto.;dell'ordine del Tribunale di sorveglianza.;dell'ordine del Provveditore regionale dell'Amministrazione penitenziaria.;
227;A norma del D.P.R. n. 230/2000 e ss.mm.ii., il personale del Corpo di polizia penitenziaria può procedere di sua iniziativa alle operazioni di perquisizione?;Sì, in casi di particolare urgenza e informando immediatamente il direttore dell'istituto.;Sì, senza particolari prescrizioni o limitazioni.;No, in nessun caso.;Sì, ogni qualvolta lo ritenga opportuno e informando immediatamente il Consiglio di disciplina dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
228;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., le situazioni, in cui si effettuano perquisizioni ordinarie, vengono stabilite:;dal regolamento interno dell'istituto.;dallo stesso D.P.R. n. 230/2000.;da specifica circolare del Capo dell'Amministrazione penitenziaria.;con ordinanza motivata del Consiglio di disciplina dell'istituto.;
229;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., le ricompense accordate ai detenuti e agli internati che si sono distinti per particolare impegno nello svolgimento del lavoro, sono concesse:;su iniziativa del direttore dell'istituto.;su iniziativa del Gruppo di Osservazione e Trattamento (G.O.T.).;su iniziativa del Magistrato di sorveglianza.;su iniziativa del Provveditore regionale dell'Amministrazione penitenziaria.;
230;A norma del D.P.R. n. 230/2000 e ss.mm.ii., le ricompense accordate ai detenuti e agli internati che si sono distinti per particolare sensibilità e disponibilità nell'offrire aiuto ad altri detenuti o internati, sono concesse:;su iniziativa del direttore dell'istituto.;su iniziativa del Magistrato di sorveglianza.;su iniziativa del Centro di servizio sociale del luogo in cui ha sede l'istituto.;su iniziativa del Comandante del reparto.;
231;A norma del D.P.R. n. 230/2000 e ss.mm.ii., le ricompense accordate ai detenuti e agli internati che si sono distinti per atti meritori di valore civile, sono concesse:;su iniziativa del direttore dell'istituto.;su iniziativa del Tribunale di sorveglianza.;su iniziativa del Capo del Dipartimento dell'Amministrazione penitenziaria.;su iniziativa del Consiglio di aiuto sociale del luogo in cui ha sede l'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
232;A norma del D.P.R. n. 230/2000 e ss.mm.ii. e con specifico riferimento alle ricompense concesse ai detenuti che si sono distinti per particolare impegno nello svolgimento del lavoro, l'encomio è concesso:;dal direttore dell'istituto.;dal Consiglio di disciplina dell'istituto.;dal Gruppo di Osservazione e Trattamento (G.O.T.).;dal Comandante del reparto.;
233;A norma del D.P.R. n. 230/2000 e ss.mm.ii. e con specifico riferimento alle ricompense concesse ai detenuti che hanno mostrato particolare impegno e profitto nei corsi scolastici e di addestramento professionale, la revoca anticipata della misura di sicurezza è concessa:;dal Consiglio di disciplina dell'istituto, sentito il gruppo di osservazione.;dal direttore dell'istituto.;dal Magistrato di sorveglianza, sentito il direttore dell'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria, sentito il Consiglio di disciplina dell'istituto.;
234;A norma dell'art. 80 del D.P.R. n. 230/2000 e ss.mm.ii., l'esecuzione delle sanzioni disciplinari può essere condizionalmente sospesa?;Sì, per il termine di sei mesi, allorché si presuma che il responsabile si asterrà dal commettere ulteriori infrazioni.;Sì, per il termine di tre mesi, allorché si presuma che il responsabile si asterrà dal commettere ulteriori infrazioni.;Sì, per il termine di dodici mesi, allorché si presuma che il responsabile si asterrà dal commettere ulteriori infrazioni.;No, in nessun caso.;
235;A norma del D.P.R. n. 230/2000 e ss.mm.ii., entro quanti giorni della ricezione del rapporto redatto da un operatore penitenziario che ha constatato un'infrazione, il direttore dell'istituto contesta l'addebito all'accusato?;Entro dieci giorni dalla ricezione del rapporto.;Entro sette giorni dalla ricezione del rapporto.;Entro quindici giorni dalla ricezione del rapporto.;Entro tre giorni dalla ricezione del rapporto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
236;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., il provvedimento definitivo con cui è deliberata la sanzione disciplinare nei confronti del detenuto ha commesso un'infrazione è tempestivamente comunicato:;al Magistrato di sorveglianza.;al Provveditore regionale dell'Amministrazione penitenziaria.;al Capo del Dipartimento dell'Amministrazione penitenziaria.;al Gruppo di Osservazione e Trattamento (G.O.T.).;
237;A norma del D.P.R. n. 230/2000 e ss.mm.ii., i trasferimenti tra istituti dello stesso provveditorato sono disposti:;dal Provveditore regionale.;dal Capo del Dipartimento dell'Amministrazione penitenziaria.;dal Prefetto.;dal Tribunale di sorveglianza.;
238;A norma del D.P.R. n. 230/2000 e ss.mm.ii., i trasferimenti degli imputati per motivi diversi da quelli di giustizia, sono disposti…;previo nulla osta della Autorità giudiziaria che procede.;previo nulla osta del Provveditore regionale dell'Amministrazione penitenziaria.;previo nulla osta del Consiglio di disciplina dell'istituto.;con decreto motivato del Tribunale di sorveglianza.;
239;A norma del D.P.R. n. 230/2000 e ss.mm.ii., l'assegnazione del detenuto ai centri di osservazione quando si ha necessità di procedere a particolari approfondimenti del soggetto, è disposta:;dal Dipartimento dell'Amministrazione penitenziaria.;dal Prefetto.;dal Tribunale di sorveglianza.;dall'Autorità giudiziaria competente.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
240;A norma del D.P.R. n. 230/2000 e ss.mm.ii., la direzione dell'istituto comunica senza indugio ogni trasferimento definitivo di un detenuto o internato:;al Magistrato di sorveglianza.;al Prefetto.;al Ministro della giustizia.;al Centro di servizio sociale del luogo in cui ha sede l'istituto nel quale il detenuto o l'internato è stato definitivamente trasferito.;
241;Ai sensi del D.P.R. n.230/2000 e ss.mm.ii., la dimissione dei detenuti e degli internati si attua su ordine scritto:;della competente Autorità giudiziaria.;dal Capo del Dipartimento dell'Amministrazione penitenziaria.;del Provveditore regionale dell'Amministrazione penitenziaria.;dal Consiglio di disciplina dell'Istituto.;
242;Ai sensi del D.P.R. n.230/2000 e ss.mm.ii., qualora in caso di intrasportabilità, attestata dal sanitario, la dimissione del condannato affetto da gravi infermità fisiche debba essere sospesa, della sospensione va data immediata comunicazione:;al Magistrato di sorveglianza e, in ogni caso, al Dipartimento dell'Amministrazione penitenziaria.;al Provveditore regionale dell'Amministrazione penitenziaria e, in ogni caso, al Dipartimento dell'Amministrazione penitenziaria.;esclusivamente al Dipartimento dell'Amministrazione penitenziaria.;al Magistrato di sorveglianza e al Provveditore regionale dell'Amministrazione penitenziaria.;
243;A norma del D.P.R. n. 230/2000 e ss.mm.ii., il peculio e gli oggetti che non sono ritirati dal dimesso:;sono trattenuti dalla direzione dell'istituto per il primo anno.;sono immediatamente venduti a cura della direzione.;sono ceduti al competente ufficio del Dipartimento dell'Amministrazione penitenziaria che si occuperà della gestione delle pratiche di restituzione al legittimo proprietario.;sono ceduti al competente ufficio del Provveditore dell'Amministrazione penitenziaria che si occuperà della gestione delle pratiche di restituzione al legittimo proprietario.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
244;Secondo il disposto del D.P.R. n. 230/2000 e ss.mm.ii., in caso di evasione di un detenuto o di un internato chi procede a darne immediata notizia alla Procura della Repubblica?;Il direttore dell'istituto.;il Prefetto.;il Magistrato di sorveglianza.;il Provveditore regionale dell'Amministrazione penitenziaria.;
245;"""In caso di evasione di un detenuto o di un internato, il Magistrato di sorveglianza ne dà immediata notizia al Dipartimento dell'Amministrazione penitenziaria"". Secondo il disposto del D.P.R. n. 230/2000 e ss.mm.ii., tale affermazione è:";errata, poiché è la direzione dell'istituto che ne dà immediata notizia al Dipartimento dell'Amministrazione penitenziaria.;corretta.;errata, poiché è il Procuratore della Repubblica che ne dà immediata notizia al Dipartimento dell'Amministrazione penitenziaria.;errata, poiché è il Provveditore regionale che ne dà immediata notizia al Dipartimento dell'Amministrazione penitenziaria.;
246;Secondo il disposto del D.P.R. n. 230/2000 e ss.mm.ii., l'istanza di affidamento in prova al servizio sociale da parte del condannato detenuto è presentata:;al direttore dell'istituto, il quale la trasmette al Magistrato di sorveglianza territorialmente competente in relazione al luogo di detenzione.;al Consiglio di disciplina dell'istituto, che la trasmette al Magistrato di sorveglianza territorialmente competente in relazione al luogo di detenzione.;al direttore dell'istituto, che la trasmette al Provveditore regionale dell'Amministrazione penitenziaria territorialmente competente in relazione al luogo di detenzione.;al Consiglio di disciplina dell'istituto, che la trasmette al Tribunale di sorveglianza territorialmente competente in relazione al luogo di detenzione.;
247;Così come disposto del D.P.R. n. 230/2000 e ss.mm.ii., l'istanza di affidamento in prova al servizio sociale da parte del condannato detenuto è presentata:;al direttore dell'istituto.;al Magistrato di sorveglianza.;al Procuratore della Repubblica.;al Provveditore regionale dell'Amministrazione penitenziaria competente in relazione al luogo dell'esecuzione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
248;Così come disposto del D.P.R. n. 230/2000 e ss.mm.ii., nei confronti del condannato e dell'internato ammesso al regime di semilibertà è formulato un particolare programma di trattamento che deve essere redatto:;entro cinque giorni, anche in via provvisoria dal solo direttore dell'istituto.;entro dieci giorni, anche in via provvisoria dal solo direttore dell'istituto.;entro cinque giorni, in via definitiva, dal Magistrato di sorveglianza.;entro cinque giorni, in via definitiva, dal Consiglio di disciplina dell'istituto.;
249;A norma del D.P.R. n. 230/2000 e ss.mm.ii., nei confronti del condannato e dell'internato ammesso al regime di semilibertà è formulato un particolare programma di trattamento che è approvato:;dal Magistrato di sorveglianza.;dal Consiglio di disciplina dell'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria.;dal Gruppo di Osservazione e Trattamento (G.O.T.).;
250;A norma del D.P.R. n. 230/2000 e ss.mm.ii., la responsabilità del programma di trattamento nei confronti del condannato e dell'internato ammesso al regime di semilibertà è affidata:;al direttore dell'istituto.;al Magistrato di sorveglianza.;al Consiglio di disciplina dell'istituto.;al Provveditore regionale dell'Amministrazione penitenziaria.;
251;"A norma dell'art. 104 (""Liberazione condizionale"") del D.P.R. n. 230/2000 e ss.mm.ii., il direttore dell'istituto trasmette la domanda o la proposta di liberazione condizionale:";al Tribunale di sorveglianza.;al Magistrato di sorveglianza.;al Provveditore regionale dell'Amministrazione penitenziaria.;al Capo dell'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
252;"Secondo quanto disciplinato dall'art. 104 (""Liberazione condizionale"") del D.P.R. n. 230/2000 e ss.mm.ii., chi si occupa di trasmettere la domanda o la proposta di liberazione condizionale al Tribunale di sorveglianza?";Il direttore dell'istituto.;il Provveditore regionale dell'Amministrazione penitenziaria.;Il Gruppo di Osservazione e Trattamento (G.O.T.).;Il Centro di servizio sociale del luogo in cui ha sede l'istituto.;
253;A norma del D.P.R. n. 230/2000 e ss.mm.ii., l'ordinanza di concessione della liberazione condizionale immediatamente esecutiva, salvo l'ipotesi di sospensione della esecuzione, è comunicata, per gli adempimenti relativi alla attuazione della liberazione condizionale:;all'interessato, al Magistrato di sorveglianza, alla Questura e al Centro di servizio sociale territorialmente competenti.;all'interessato, al Magistrato di sorveglianza, al Gruppo di Osservazione e Trattamento e al Prefetto territorialmente competente.;all'interessato, al Tribunale di sorveglianza e al Prefetto territorialmente competente.;all'interessato, al Tribunale di sorveglianza, al Prefetto e al Centro di servizio sociale territorialmente competente.;
