N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
208;Il cittadino ha l'obbligo di denunciare i reati perseguibili d'ufficio, in base al dettato dell'art. 333 c.p.p., dei quali viene a conoscenza?;Né ha facoltà, salvo i casi in cui, per legge, la denuncia è obbligatoria.;Sì, sempre, pena l'applicazione a suo carico di sanzioni penali.;La denuncia è sempre e solo facoltativa essendo rimessa al dovere civico della singola persona.;Sì, sempre, ad eccezione del caso in cui il reato sia stato commesso da un suo prossimo congiunto.
209;Possono essere presentati nella cancelleria del giudice della impugnazione motivi nuovi, ai sensi dell'art. 585 c.p.p.:;fino a quindici giorni prima.;fino a sette giorni liberi prima.;fino a dieci giorni prima.;fino a dieci giorni liberi prima.
210;Ai sensi dell'art. 353 c.p.p., quando vi è necessità di acquisire plichi sigillati o altrimenti chiusi, l'ufficiale di polizia giudiziaria:;li trasmette intatti al pubblico ministero per l'eventuale sequestro.;li trasmette, dopo un'opportuna ispezione, al pubblico ministero per l'eventuale sequestro.;li acquisisce disponendo il sequestro con decreto.;li trasmette intatti al Prefetto territorialmente competente.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
211;La querela, sulla base delle statuizioni contenute nel c.p.p. è:;una dichiarazione nella quale, personalmente o a mezzo di procuratore speciale, si manifesta la volontà che si proceda in ordine a un fatto previsto dalla legge come reato.;una condizione di procedibilità ed un presupposto necessario del procedimento di applicazione della pena su richiesta delle parti.;una condizione di procedibilità ed un presupposto necessario per i riti cc.dd. alternativi.;una dichiarazione contenente un’informativa di reato per il quale si debba procedere con uno qualsiasi dei procedimenti speciali.
212;Ex art. 349 c.p.p., in quale dei seguenti casi, ai fini dell'identificazione del soggetto nei cui confronti vengono svolge le indagini, è necessaria una previa autorizzazione scritta oppure resa oralmente e confermata per iscritto da parte del P.M.?;Nelle ipotesi in cui gli accertamenti richiedono il prelievo coattivo di materiale biologico, ovvero capelli o saliva.;Nelle ipotesi in cui gli accertamenti richiedono rilievi dattiloscopici, fotografici e antropometrici.;Nelle ipotesi in cui gli accertamenti richiedono il prelievo, anche non coattivo, di materiale biologico, ovvero capelli o saliva.;Nelle ipotesi in cui gli accertamenti richiedono essenzialmente dei rilievi fotografici.
213;Quale delle seguenti casistiche non rappresenta una delle ipotesi contemplate dal l'art. 723 c.p.p., in cui il Ministro della giustizia non dà corso alla rogatoria?;Il caso in cui la rogatoria non sia stata preventivamente sottoposta per conoscenza alla Corte di appello del luogo in cui deve procedersi agli atti richiesti.;Il caso in cui risulta evidente che gli atti richiesti sono espressamente vietati dalla legge o sono contrari ai principi fondamentali dell’ordinamento giuridico italiano.;Il caso in cui vi sono fondate ragioni per ritenere che considerazioni relative alla razza, alla religione, al sesso, alla nazionalità, alla lingua, alle opinioni politiche o alle condizioni personali o sociali possano influire negativamente sullo svolgimento o sull’esito del processo, a meno che non vi sia il consenso, liberamente espresso, dell'interessato.;Il caso in cui la rogatoria ha ad oggetto la citazione di un testimone, davanti all’autorità giudiziaria straniera e lo Stato richiedente non offre idonea garanzia in ordine all’immunità della persona citata.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
214;Ai sensi dell'art. 294 c.p.p., deve procedere all'interrogatorio di garanzia:;il giudice che ha deciso in ordine all’applicazione della misura cautelare.;il Presidente del collegio o uno dei componenti dallo stesso delegato.;il giudice per le indagini preliminari.;il Presidente del Tribunale territorialmente competente.
215;In riferimento alle norme del c.p.p., il c.d. privilegio contro l'autoincriminazione è:;la facoltà riconosciuta al testimone di non rispondere su fatti dai quali potrebbe emergere una propria responsabilità penale.;il privilegio, riconosciuto all'imputato, di non rispondere su fatti dai quali potrebbe emergere una propria ulteriore responsabilità penale.;la facoltà, riconosciuta al testimone, di non presentarsi al giudice nel caso in cui dal dibattimento possano emergere fatti idonei ad implicare una propria responsabilità penale.;il privilegio, riconosciuto all'imputato, di avvalersi nel corso del processo della facoltà di non rispondere.
216;Secondo il c.p.p., i prossimi congiunti dell'imputato:;non sono obbligati a deporre.;devono deporre obbligatoriamente.;non possono mai essere considerati compatibili come testimoni.;in caso di dichiarazioni mendaci sono punibili per falsa testimonianza, anche nel caso in cui il giudice abbia omesso di rivolgere loro l'avvertimento circa la facoltà di non rispondere.
217;In ambito processuale penale, ai sensi dell'art. 20 c.p.p., il difetto di giurisdizione è rilevato:;anche di ufficio, in ogni stato e grado del procedimento.;esclusivamente di ufficio, in ogni stato e grado del procedimento.;anche di ufficio, ma esclusivamente nel corso delle indagini preliminari.;esclusivamente di ufficio dopo la fase di ammissione dei mezzi di prova.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
218;È contemplato nel c.p.p. l'istituto della revisione a favore dei condannati:;in ogni tempo, nei casi determinati dalla legge, la revisione delle sentenze di condanna o delle sentenze di patteggiamento, o dei decreti penali di condanna, quando sono divenuti irrevocabili, anche se la pena è già stata eseguita o è estinta.;in ogni tempo, nei casi determinati dalla legge, la revisione delle sentenze di condanna o delle sentenze di patteggiamento, o dei decreti penali di condanna, ma solo se la pena non è già stata eseguita o non è estinta.;in ogni tempo, nei casi determinati dalla legge, la revisione delle sentenze di condanna o delle sentenze di patteggiamento, o dei decreti penali di condanna, solo se non sono divenuti irrevocabili.;in ogni tempo, la revisione delle sentenze di condanna o delle sentenze di patteggiamento, o dei decreti penali di condanna, anche se la pena è già stata eseguita o è estinta.
219;Chi aggiorna, durante le indagini preliminari, secondo le previsioni dell'art. 335 c.p.p., le iscrizioni nel registro delle notizie di reato, qualora il fatto risulti diversamente circostanziato?;Il Pubblico Ministero.;Il Giudice per le indagini preliminari.;L'addetto di cancelleria del Giudice per le indagini preliminari.;Il Presidente del Tribunale territorialmente competente.
220;In caso di connessione, ai sensi dell'art. 33 quater c.p.p., se alcuni procedimenti connessi appartengono alla cognizione del tribunale in composizione collegiale ed altri a quella del tribunale in composizione monocratica:;i procedimenti sono tutti attribuiti alla cognizione del tribunale collegiale.;i procedimenti sono tutti attribuiti alla cognizione del tribunale in composizione monocratica.;i procedimenti sono tutti attribuiti alla cognizione della Corte d'assise.;I procedimenti sono tutti attribuiti alla cognizione della Corte d'assise d'appello.
221;Giusta previsione contenuta nel c.p.p., l'incompetenza per territorio è:;eccepibile dalle parti ed è rilevabile dal giudice, a pena di decadenza, fino alla chiusura della discussione finale nell'udienza preliminare o, se questa manchi, nel corso delle questioni preliminari in dibattimento.;eccepibile dalle parti ed è rilevabile dal giudice, in ogni fase del giudizio.;rilevabile esclusivamente d'ufficio.;eccepibile esclusivamente su istanza di parte.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
222;Le indagini preliminari, in virtù della norma dell'art. 326 c.p.p., sono finalizzate:;alle determinazioni inerenti all’esercizio dell’azione penale.;all’acquisizione delle prove anche a favore dell’indagato.;all'accertamento della responsabilità penale dell’imputato.;all’acquisizione esclusivamente delle prove a carico delle persone indagate.
223;Come sancito dall'art. 355 c.p.p., la proposizione della richiesta di riesame contro il decreto di convalida del sequestro può sospendere l'esecuzione del provvedimento?;No.;Sì, sempre.;Sì, purché venga presentata nel termine di dieci giorni.;No, salve le ipotesi in cui vi sia un pregiudizio grave ed irreparabile.
224;A norma dell'art. 574 c.p.p., l’impugnazione dell’imputato contro la pronuncia di condanna penale o di assoluzione:;estende i suoi effetti alla pronuncia di condanna alle restituzioni, al risarcimento dei danni e alla rifusione delle spese processuali, se questa pronuncia dipende dal capo o dal punto impugnato.;estende i suoi effetti alla pronuncia di condanna alle restituzioni, al risarcimento dei danni, se questa pronuncia dipende dal capo o dal punto impugnato, ma mai alla rifusione delle spese processuali.;può essere effettuata limitatamente alla sola rifusione delle spese processuali.;non può mai essere effettuata con riferimento alla rifusione delle spese processuali.
225;A norma dell'art. 596 c.p.p., sull’appello proposto contro le sentenze pronunciate dal tribunale decide:;la Corte di appello.;il Tribunale in composizione collegiale.;la Corte di assise di appello.;il Tribunale monocratico del capoluogo di regione competente per territorio.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
226;Secondo le previsioni del c.p.p., assume la qualità di imputato:;la persona alla quale è attribuito il reato al momento dell'esercizio dell'azione penale.;la persona sottoposta alle indagini preliminari.;la persona a cui viene notificato l'avviso di garanzia.;a persona condannata di un reato penale.
227;Il riconoscimento delle sentenze penali straniere a norma di accordi internazionali spetta ai sensi del c.p.p.:;al Ministro della giustizia;al Ministro degli affari esteri e della cooperazione internazionale.;al procuratore generale della Repubblica.;al Presidente della Corte d'appello di Roma.
228;Nel caso in cui la sentenza penale straniera venga riconosciuta a norma dell'art. 731 c.p.p., per lo stesso fatto in Italia il condannato:;non può essere sottoposto a nuovo procedimento penale, neppure nel caso in cui il fatto venga diversamente considerato per titolo, grado o circostanze.;non può essere sottoposto a nuovo procedimento penale, ad eccezione del caso in cui il fatto venga diversamente considerato per titolo, grado o circostanze.;può essere sottoposto a nuovo procedimento penale, a meno che non si tratti dell'esecuzione della confisca.;può essere sottoposto a nuovo procedimento penale se vi sono ancora i termini per l'esercizio dell'azione penale.
229;Secondo quanto previsto dal c.p.p., può l'imputato rinunciare all'assistenza del difensore?;No, l'imputato non può esercitare un'autodifesa, infatti nel caso in cui non abbia nominato un difensore di fiducia o ne sia rimasto privo è assistito da un difensore di ufficio.;Si, è un suo diritto previsto espressamente dal c.p.p.;No, ad eccezione del caso in cui l'imputato abbia nominato un difensore di fiducia ma successivamente ne sia rimasto privo.;Si, esclusivamente nel caso in cui l'imputato abbia la qualità di avvocato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
230;È possibile concedere, sulla base dell'art. 284 c.p.p., gli arresti domiciliari a chi ha compiuto reati di omicidio:;a meno che l’imputato non sia stato condannato per reato di evasione nei cinque anni precedenti al fatto per il quale si procede.;a meno che l’imputato non si sia reso colpevole di altri reati nei cinque anni precedenti al fatto per il quale si procede.;a meno che l’imputato non si sia reso colpevole di altri reati della stessa indole nei cinque anni precedenti al fatto per il quale si procede.;a meno che l’imputato si sia reso colpevole di reati di criminalità organizzata.
231;Le misure interdittive, con riferimento alle disposizioni del c.p.p., si applicano:;solo quando si procede in ordine a delitti per i quali è prevista come pena l’ergastolo o la reclusione superiore nel massimo a tre anni.;solo per i delitti espressamente indicati dal c.p.p.;solo quando si procede in ordine a delitti per i quali è prevista come pena l’ergastolo.;solo quando si procede in ordine a delitti per i quali è prevista la reclusione superiore nel massimo a cinque anni o l’ergastolo.
232;L’esecuzione di una misura cautelare può essere sospesa, secondo le disposizioni del c.p.p., se:;vi è un ordine con cui si dispone la carcerazione nei confronti di un imputato al quale è stata applicata una misura cautelare personale per un altro reato, salvo che gli effetti della misura disposta siano compatibili con l’espiazione della pena.;vi è un ordine con cui si dispone la carcerazione nei confronti di un imputato al quale è stata applicata una misura cautelare personale per un altro reato, anche se gli effetti della misura disposta siano incompatibili con l’espiazione della pena.;solo se si dispone la carcerazione per un reato che preveda l’ergastolo come pena.;vi è un ordine con cui si dispone una nuova misura cautelare.
233;A norma dell'art. 305 c.p.p., il Pubblico Ministero può chiedere la proroga della custodia cautelare:;se sussistono gravi esigenze cautelari in rapporto ad accertamenti particolarmente complessi o a nuove indagini.;solo se la richiesta di proroga è fatta durante il dibattimento.;se l’imputato acconsente.;solo prima dell’udienza preliminare.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
234;Il Giudice può disporre altre misure cautelari per l’imputato scarcerato per decorrenza dei termini, ai sensi dell'art. 307 c.p.p.:;qualora ricorrano i presupposti, solo se sussistono le ragioni che avevano determinato la custodia cautelare.;ma solo per determinati delitti.;qualora sussistano si tratti di misure cautelari interdittive.;se si tratta di misure cautelari coercitive.
235;Se è stata emessa ordinanza che rigetta o dichiara inammissibile per manifesta infondatezza la richiesta di rimessione del processo, può essere presentata nuova istanza di rimessione, con riferimento all'art. 49 c.p.p.:;purché fondata su elementi nuovi.;solo da parte del Pubblico Ministero.;purché entro sei mesi dalla pronuncia.;purché entro un anno dalla pronuncia.
236;Se si procede al dibattimento, in base all'art. 112 c.p.p., non è consentita la pubblicazione degli atti del fascicolo del pubblico ministero?;se non dopo la pronuncia della sentenza in grado di appello.;se non dopo la dichiarazione di chiusura del dibattimento di primo grado.;se non dopo la sentenza di primo grado.;ad eccezione degli atti irripetibili.
237;Il sequestro preventivo può essere disposto, ai sensi delle norme del c.p.p., dagli ufficiali di Polizia Giudiziaria se:;vi siano situazioni di urgenza, purché entro le quarantotto ore successive, trasmettano il verbale al Pubblico Ministero del luogo in cui il sequestro è stato eseguito.;vi siano situazioni di urgenza, purché entro le settantadue ore successive, richiedano autorizzazione al Pubblico Ministero del luogo in cui il sequestro è stato eseguito.;vi siano situazioni di urgenza, se ci si trovi in presenza di reati particolarmente gravi.;solo se ci si trovi in presenza di reati particolarmente gravi.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
238;In materia di misure cautelari, secondo le previsioni del c.p.p., quando la misura applicata non appare più proporzionata all’entità del fatto:;il giudice sostituisce la misura applicata con un’altra meno grave ovvero ne dispone l’applicazione con modalità meno gravose.;il giudice revoca immediatamente la misura.;il Pubblico Ministero può sostituire la misura con un’altra meno grave.;il Pubblico Ministero ne dispone l’applicazione con modalità meno gravose.
239;Con riferimento alle norme del c.p.p., il pubblico ministero può proporre appello contro le sentenze di proscioglimento?;Sì, ma solo nell'ipotesi in cui il giudice disponga la rinnovazione dell'istruttoria dibattimentale e la nuova prova sia decisiva.;No, mai;Sì, ma solo avverso le sentenze di proscioglimento relative a contravvenzioni punite con la reclusione.;Sì, ma solo avverso le sentenze di proscioglimento relative a contravvenzioni punite con l'ammenda
240;Qualora la notizia di reato risulti infondata, ai sensi dell'art. 408 c.p.p., competente a richiedere l’archiviazione è:;il Pubblico Ministero.;il Giudice per le indagini preliminari.;il Pubblico Ministero o la Polizia Giudiziaria.;il Pubblico Ministero o il Giudice per le indagini preliminari.
